|       | 007 Legends                                                                             | Activision                             | PlayStation 3 | 2012 | Europe
|       | Assassin's Creed II: Complete Edition                                                   | Ubisoft                                | PlayStation 3 | 2010 | Europe
|       | Assassin's Creed III                                                                    | Ubisoft                                | PlayStation 3 | 2012 | Europe
|       | Assassin's Creed IV: Black Flag                                                         | Ubisoft                                | PlayStation 3 | 2013 | Europe
|       | Assassin's Creed Rogue                                                                  | Ubisoft                                | PlayStation 3 | 2014 | Europe
|       | Assassin's Creed: Birth of a New World - The American Saga                              | Ubisoft                                | PlayStation 3 | 2014 | Europe
|       | Assassin's Creed: Brotherhood                                                           | Ubisoft                                | PlayStation 3 | 2010 | Europe
|       | Assassin's Creed: Brotherhood - The Da Vinci Edition                                    | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | Assassin's Creed: Heritage Collection                                                   | Ubisoft                                | PlayStation 3 | 2013 | Europe
|       | Assassin's Creed: Revelations                                                           | Ubisoft                                | PlayStation 3 | 2012 | Europe
|       | Assassin's Creed: Revelations                                                           | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | Asura's Wrath                                                                           | Capcom                                 | PlayStation 3 | 2012 | Europe
|       | Atelier Ayesha: The Alchemist of Dusk                                                   | Koei Tecmo Games                       | PlayStation 3 | 2013 | Europe
|       | Atelier Escha & Logy: Alchemists of the Dusk Sky                                        | Tecmo Koei Games                       | PlayStation 3 | 2014 | Europe
|       | Atelier Meruru: The Apprentice of Arland                                                | NIS America                            | PlayStation 3 | 2012 | Europe
|       | Atelier Rorona Plus: The Alchemist of Arland                                            | Tecmo Koei Games                       | PlayStation 3 | 2014 | Europe
|       | Atelier Rorona: The Alchemist of Arland                                                 | NIS Europe                             | PlayStation 3 | 2010 | Europe
|       | Atelier Shallie: Alchemists of the Dusk Sea                                             | Koei Tecmo Games                       | PlayStation 3 | 2015 | Europe
|       | Atelier Totori: The Adventurer of Arland                                                | NIS America                            | PlayStation 3 | 2011 | Europe
|       | Awakened Fate: Ultimatum, The                                                           | NIS America                            | PlayStation 3 | 2015 | Europe
|       | Back to the Future: The Game                                                            | Deep Silver                            | PlayStation 3 | 2012 | Europe
|       | Backbreaker                                                                             | 505 Games                              | PlayStation 3 | 2010 | Europe
|       | Baja: Edge of Control                                                                   | THQ                                    | PlayStation 3 | 2008 | Europe
|       | Bakugan Battle Brawlers                                                                 | Activision                             | PlayStation 3 | 2009 | Europe
|       | Bakugan Battle Brawlers: Defenders of the Core                                          | Activision                             | PlayStation 3 | 2010 | Europe
|       | Band Hero                                                                               | Activision                             | PlayStation 3 | 2009 | Europe
|       | Barbie and Her Sisters: Puppy Rescue                                                    | Little Orbit                           | PlayStation 3 | 2015 | Europe
|       | Batman: Arkham Asylum                                                                   | Eidos Interactive                      | PlayStation 3 | 2009 | Europe
|       | Batman: Arkham City                                                                     | Warner Bros. Interactive Entertainment | PlayStation 3 | 2011 | Europe
|       | Batman: Arkham City - Game of the Year Edition                                          | Warner Bros. Interactive Entertainment | PlayStation 3 | 2012 | Europe
|       | Batman: Arkham Collection                                                               | Warner Bros. Interactive Entertainment | PlayStation 3 | 2013 | Europe
|       | Batman: Arkham Origins                                                                  | Warner Bros. Interactive Entertainment | PlayStation 3 | 2013 | Europe
|       | Batman: The Telltale Series                                                             | Warner Bros. Interactive Entertainment | PlayStation 3 | 2016 | Europe
|       | Battle Fantasia                                                                         | 505 Games                              | PlayStation 3 | 2009 | Europe
|       | Battle vs. Chess                                                                        | TopWare Interactive                    | PlayStation 3 | 2011 | Europe
|       | Battlefield 3                                                                           | Electronic Arts                        | PlayStation 3 | 2011 | Europe
|       | Battlefield 4                                                                           | Electronic Arts                        | PlayStation 3 | 2013 | Europe
|       | Battlefield Hardline                                                                    | Electronic Arts                        | PlayStation 3 | 2015 | Europe
|       | Battlefield: Bad Company                                                                | EA Games                               | PlayStation 3 | 2008 | Europe
|       | Battlefield: Bad Company 2                                                              | EA Games                               | PlayStation 3 | 2010 | Europe
|       | Battlefield: Bad Company 2 Ultimate Edition                                             | Electronic Arts                        | PlayStation 3 | 2010 | Europe
|       | Battleship                                                                              | Activision                             | PlayStation 3 | 2012 | Europe
|       | Bayonetta                                                                               | Sega                                   | PlayStation 3 | 2010 | Europe
|       | Beatles: Rock Band, The                                                                 | MTV Games                              | PlayStation 3 | 2009 | Europe
|       | Beijing 2008 - The Official Video Game of the Olympic Games                             | Sega                                   | PlayStation 3 | 2008 | Europe
|       | Bejeweled 3                                                                             | PopCap                                 | PlayStation 3 | 2012 | Europe
|       | Ben 10 Omniverse 2                                                                      | D3Publisher                            | PlayStation 3 | 2013 | Europe
|       | Ben 10 Ultimate Alien: Cosmic Destruction                                               | D3Publisher                            | PlayStation 3 | 2011 | Europe
|       | Ben 10: Galactic Racing                                                                 | D3Publisher                            | PlayStation 3 | 2011 | Europe
|       | Ben 10: Omniverse                                                                       | D3Publisher                            | PlayStation 3 | 2012 | Europe
|       | Beowulf: The Game                                                                       | Ubisoft                                | PlayStation 3 | 2007 | Europe
|       | Beyond: Due Anime                                                                       | SCEE                                   | PlayStation 3 | 2013 | Europe
|       | Binary Domain                                                                           | Sega                                   | PlayStation 3 | 2012 | Europe
|       | Bionic Commando                                                                         | Capcom                                 | PlayStation 3 | 2009 | Europe
|       | BioShock                                                                                | 2K Games                               | PlayStation 3 | 2008 | Europe
|       | BioShock 2                                                                              | 2K Games                               | PlayStation 3 | 2010 | Europe
|       | BioShock Infinite                                                                       | 2K Games                               | PlayStation 3 | 2013 | Europe
|       | BioShock Ultimate Rapture Edition                                                       | 2K Games                               | PlayStation 3 | 2013 | Europe
|       | Birds of Steel                                                                          | Konami                                 | PlayStation 3 | 2012 | Europe
|       | BlackSite                                                                               | Midway                                 | PlayStation 3 | 2008 | Europe
|       | Blades of Time                                                                          | Konami                                 | PlayStation 3 | 2012 | Europe
|       | Bladestorm: The Hundred Years' War                                                      | Koei                                   | PlayStation 3 | 2007 | Europe
|       | BlazBlue: Calamity Trigger                                                              | PQube                                  | PlayStation 3 | 2010 | Europe
|       | BlazBlue: Central Fiction                                                               | PQube                                  | PlayStation 3 | 2016 | Europe
|       | BlazBlue: Chrono Phantasma Extend                                                       | PQube                                  | PlayStation 3 | 2015 | Europe
|       | BlazBlue: Continuum Shift                                                               | PQube                                  | PlayStation 3 | 2010 | Europe
|       | BlazBlue: Continuum Shift Extend                                                        | PQube                                  | PlayStation 3 | 2012 | Europe
|       | Blazing Angels 2: Secret Missions of WWII                                               | Ubisoft                                | PlayStation 3 | 2007 | Europe
|       | Blazing Angels: Squadrons of WWII                                                       | Ubisoft                                | PlayStation 3 | 2007 | Europe
|       | Bleach: Soul Resurreccion                                                               | NIS America                            | PlayStation 3 | 2011 | Europe
|       | Blitz: The League II                                                                    | Midway                                 | PlayStation 3 | 2008 | Europe
|       | Blood Drive                                                                             | Activision                             | PlayStation 3 | 2010 | Europe
|       | Bloodbath                                                                               | Freedom Factory Studios                | PlayStation 3 | 2014 | Europe
|       | Blur                                                                                    | Activision                             | PlayStation 3 | 2010 | Europe
|       | Bodycount                                                                               | Codemasters                            | PlayStation 3 | 2011 | Europe
|       | Bolt                                                                                    | Disney Interactive Studios             | PlayStation 3 | 2009 | Europe
|       | Borderlands                                                                             | 2K Games                               | PlayStation 3 | 2009 | Europe
|       | Borderlands 2                                                                           | 2K Games                               | PlayStation 3 | 2012 | Europe
|       | Borderlands 2: Add-On Content Pack                                                      | 2K Games                               | PlayStation 3 | 2013 | Europe
|       | Borderlands 2: Game of the Year Edition                                                 | 2K Games                               | PlayStation 3 | 2013 | Europe
|       | Borderlands: Game of the Year Edition                                                   | Take-Two Interactive                   | PlayStation 3 | 2010 | Europe
|       | Borderlands: The Pre-Sequel!                                                            | 2K Games                               | PlayStation 3 | 2014 | Europe
|       | Bound by Flame                                                                          | Focus Home Interactive                 | PlayStation 3 | 2014 | Europe
|       | Brain Challenge Deluxe                                                                  | Ubisoft                                | PlayStation 3 | 2008 | Europe
|       | Brave: The Video Game                                                                   | Disney Interactive Studios             | PlayStation 3 | 2012 | Europe
|       | Brink                                                                                   | Bethesda Softworks                     | PlayStation 3 | 2011 | Europe
|       | Brothers In Arms: Hell's Highway                                                        | Ubisoft                                | PlayStation 3 | 2008 | Europe
|       | Brunswick Pro Bowling                                                                   | 505 Games                              | PlayStation 3 | 2011 | Europe
|       | Brutal Legend                                                                           | EA Games                               | PlayStation 3 | 2009 | Europe
|       | Bulletstorm                                                                             | Electronic Arts                        | PlayStation 3 | 2011 | Europe
|       | Bureau: XCOM Declassified, The                                                          | 2K Games                               | PlayStation 3 | 2013 | Europe
|       | Burnout Paradise                                                                        | EA Games                               | PlayStation 3 | 2008 | Europe
|       | Buzz! Norgesmester                                                                      | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | Buzz! Quiz TV                                                                           | SCEE                                   | PlayStation 3 | 2008 | Europe
|       | Buzz! Quiz World                                                                        | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | Buzz! The Ultimate Music Quiz                                                           | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | Cabela's Adventure Camp                                                                 | Activision                             | PlayStation 3 | 2011 | Europe
|       | Cabela's Big Game Hunter 2012                                                           | Activision                             | PlayStation 3 | 2012 | Europe
|       | Cabela's Dangerous Adventures                                                           | Activision                             | PlayStation 3 | 2009 | Europe
|       | Cabela's Dangerous Hunts 2011                                                           | Activision                             | PlayStation 3 | 2011 | Europe
|       | Cabela's Dangerous Hunts 2013                                                           | Activision                             | PlayStation 3 | 2012 | Europe
|       | Cabela's Survival: Shadows of Katmai                                                    | Activision                             | PlayStation 3 | 2011 | Europe
|       | Call of Duty 3                                                                          | Activision                             | PlayStation 3 | 2007 | Europe
|       | Call of Duty 4: Modern Warfare                                                          | Activision                             | PlayStation 3 | 2007 | Europe
|       | Call of Duty: Advanced Warfare                                                          | Activision                             | PlayStation 3 | 2014 | Europe
|       | Call of Duty: Black Ops                                                                 | Activision                             | PlayStation 3 | 2010 | Europe
|       | Call of Duty: Black Ops II                                                              | Activision                             | PlayStation 3 | 2012 | Europe
|       | Call of Duty: Black Ops III                                                             | Activision                             | PlayStation 3 | 2015 | Europe
|       | Call of Duty: Ghosts                                                                    | Activision                             | PlayStation 3 | 2013 | Europe
|       | Call of Duty: Modern Warfare 2                                                          | Activision                             | PlayStation 3 | 2009 | Europe
|       | Call of Duty: Modern Warfare 3                                                          | Activision                             | PlayStation 3 | 2011 | Europe
|       | Call of Duty: Modern Warfare Trilogy                                                    | Activision                             | PlayStation 3 | 2016 | Europe
|       | Call of Duty: World at War                                                              | Activision                             | PlayStation 3 | 2008 | Europe
|       | Call of Juarez: Bound in Blood                                                          | Ubisoft                                | PlayStation 3 | 2009 | Europe
|       | Call of Juarez: The Cartel                                                              | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | Captain America: Super Soldier                                                          | Sega                                   | PlayStation 3 | 2011 | Europe
|       | Captain Morgane and the Golden Turtle                                                   | Reef Entertainment                     | PlayStation 3 | 2012 | Europe
|       | Carnival Island                                                                         | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Cars 2: The Video Game                                                                  | Disney Interactive Studios             | PlayStation 3 | 2011 | Europe
|       | Cars 3: Driven to Win                                                                   | Warner Bros. Interactive Entertainment | PlayStation 3 | 2017 | Europe
|       | Cars Mater-National Championship                                                        | THQ                                    | PlayStation 3 | 2007 | Europe
|       | Cars Race-O-Rama                                                                        | THQ                                    | PlayStation 3 | 2009 | Europe
|       | Cartoon Network: Punch Time Explosion XL                                                | OG International Ltd                   | PlayStation 3 | 2012 | Europe
|       | Castlevania: Lords of Shadow                                                            | Konami                                 | PlayStation 3 | 2010 | Europe
|       | Castlevania: Lords of Shadow 2                                                          | Konami                                 | PlayStation 3 | 2014 | Europe
|       | Castlevania: Lords of Shadow Collection                                                 | Konami                                 | PlayStation 3 | 2013 | Europe
|       | Catherine                                                                               | Deep Silver                            | PlayStation 3 | 2012 | Europe
|       | Champion Jockey: G1 Jockey & Gallop Racer                                               | Tecmo Koei Games                       | PlayStation 3 | 2011 | Europe
|       | Child of Eden                                                                           | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | Child of Light                                                                          | Ubisoft                                | PlayStation 3 | 2014 | Europe
|       | Chronicles of Narnia: Prince Caspian, The                                               | Disney Interactive Studios             | PlayStation 3 | 2008 | Europe
|       | Chronicles of Riddick: Assault on Dark Athena, The                                      | Atari SA                               | PlayStation 3 | 2009 | Europe
|       | Clan of Champions                                                                       | NIS America                            | PlayStation 3 | 2017 | Europe
|       | Clash of the Titans                                                                     | Namco Bandai Games                     | PlayStation 3 | 2010 | Europe
|       | Classics HD: The Ratchet & Clank Trilogy                                                | SCEE                                   | PlayStation 3 | 2012 | Europe
|       | Clive Barker's Jericho                                                                  | Codemasters                            | PlayStation 3 | 2007 | Europe
|       | Cloudy With a Chance of Meatballs                                                       | Ubisoft                                | PlayStation 3 | 2009 | Europe
|       | Club, The                                                                               | Sega Europe                            | PlayStation 3 | 2008 | Europe
|       | Colin McRae: DiRT                                                                       | Codemasters                            | PlayStation 3 | 2007 | Europe
|       | Colin McRae: DiRT 2                                                                     | Codemasters                            | PlayStation 3 | 2009 | Europe
|       | Combat Wings: The Great Battles of WWII                                                 | City Interactive                       | PlayStation 3 | 2012 | Europe
|       | Command & Conquer: Red Alert 3                                                          | Electronic Arts                        | PlayStation 3 | 2009 | Europe
|       | Conan                                                                                   | THQ                                    | PlayStation 3 | 2007 | Europe
|       | Condemned 2                                                                             | Sega Europe                            | PlayStation 3 | 2008 | Europe
|       | Conflict: Denied Ops                                                                    | Eidos Interactive                      | PlayStation 3 | 2008 | Europe
|       | Crash Time 4: The Syndicate                                                             | DTP Entertainment                      | PlayStation 3 | 2012 | Europe
|       | Crash Time 5: Undercover                                                                | DTP Entertainment                      | PlayStation 3 | 2013 | Europe
|       | Create                                                                                  | EA Games                               | PlayStation 3 | 2010 | Europe
|       | Cross Edge                                                                              | NIS America                            | PlayStation 3 | 2009 | Europe
|       | Crysis 2                                                                                | EA Games                               | PlayStation 3 | 2011 | Europe
|       | Crysis 3                                                                                | EA Games                               | PlayStation 3 | 2013 | Europe
|       | CSI: Crime Scene Investigation: Fatal Conspiracy                                        | Ubisoft                                | PlayStation 3 | 2010 | Europe
|       | Cube, The                                                                               | Funbox Media                           | PlayStation 3 | 2012 | Europe
|       | Cursed Crusade, The                                                                     | DTP Entertainment                      | PlayStation 3 | 2011 | Europe
|       | Damage Inc.: Pacific Squadron WWII                                                      | Mad Catz                               | PlayStation 3 | 2012 | Europe
|       | Damnation                                                                               | Codemasters                            | PlayStation 3 | 2009 | Europe
|       | Dance on Broadway                                                                       | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | Dance! It's Your Stage                                                                  | dtp Young Entertainment AG             | PlayStation 3 | 2011 | Europe
|       | DanceDanceRevolution: New Moves                                                         | Konami                                 | PlayStation 3 | 2011 | Europe
|       | DanceStar Party                                                                         | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | DanceStar Party Hits                                                                    | SCEE                                   | PlayStation 3 | 2012 | Europe
|       | Dante's Inferno                                                                         | Electronic Arts                        | PlayStation 3 | 2010 | Europe
|       | Dark Sector                                                                             | D3Publisher                            | PlayStation 3 | 2008 | Europe
|       | Dark Souls                                                                              | Namco Bandai Games                     | PlayStation 3 | 2011 | Europe
|       | Dark Souls II                                                                           | Namco Bandai Games                     | PlayStation 3 | 2014 | Europe
|       | Dark Souls II: Scholar of the First Sin                                                 | Bandai Namco Games                     | PlayStation 3 | 2015 | Europe
|       | Dark Void                                                                               | Capcom                                 | PlayStation 3 | 2010 | Europe
|       | Darkness II, The                                                                        | 2K Games                               | PlayStation 3 | 2012 | Europe
|       | Darkness, The                                                                           | 2K Games                               | PlayStation 3 | 2007 | Europe
|       | Darksiders                                                                              | THQ                                    | PlayStation 3 | 2010 | Europe
|       | Darksiders Collection                                                                   | Nordic Games Publishing                | PlayStation 3 | 2014 | Europe
|       | Darksiders II                                                                           | THQ                                    | PlayStation 3 | 2012 | Europe
|       | DC Universe Online                                                                      | Sony Online Entertainment              | PlayStation 3 | 2011 | Europe
|       | de Blob 2                                                                               | THQ                                    | PlayStation 3 | 2011 | Europe
|       | Dead Island                                                                             | Deep Silver                            | PlayStation 3 | 2011 | Europe
|       | Dead Island: Game of the Year Edition                                                   | Deep Silver                            | PlayStation 3 | 2012 | Europe
|       | Dead Island: Riptide                                                                    | Deep Silver                            | PlayStation 3 | 2013 | Europe
|       | Dead or Alive 5                                                                         | Tecmo Koei Games                       | PlayStation 3 | 2012 | Europe
|       | Dead or Alive 5 Ultimate                                                                | Koei Tecmo Games                       | PlayStation 3 | 2013 | Europe
|       | Dead Rising 2                                                                           | Capcom                                 | PlayStation 3 | 2010 | Europe
|       | Dead Rising 2: Off the Record                                                           | Capcom                                 | PlayStation 3 | 2011 | Europe
|       | Dead Space                                                                              | Electronic Arts                        | PlayStation 3 | 2008 | Europe
|       | Dead Space 2                                                                            | EA Games                               | PlayStation 3 | 2011 | Europe
|       | Dead Space 3                                                                            | Electronic Arts                        | PlayStation 3 | 2013 | Europe
|       | Dead To Rights: Retribution                                                             | Namco Bandai Games                     | PlayStation 3 | 2010 | Europe
|       | Deadly Premonition: The Director's Cut                                                  | Rising Star Games                      | PlayStation 3 | 2013 | Europe
|       | Deadpool                                                                                | Activision                             | PlayStation 3 | 2013 | Europe
|       | Deception IV: Blood Ties                                                                | Tecmo Koei Games                       | PlayStation 3 | 2014 | Europe
|       | Def Jam Rapstar                                                                         | Konami                                 | PlayStation 3 | 2010 | Europe
|       | Def Jam: Icon                                                                           | Electronic Arts                        | PlayStation 3 | 2007 | Europe
|       | Defiance                                                                                | Trion Worlds                           | PlayStation 3 | 2013 | Europe
|       | Demon's Souls                                                                           | Namco Bandai Games                     | PlayStation 3 | 2010 | Europe
|       | Der Pate II                                                                             | Electronic Arts                        | PlayStation 3 | 2009 | Europe
|       | Der Pate: Die Don-Edition                                                               | Electronic Arts                        | PlayStation 3 | 2007 | Europe
|       | Destiny                                                                                 | Activision                             | PlayStation 3 | 2014 | Europe
|       | Destiny: The Taken King - Legendary Edition                                             | Activision                             | PlayStation 3 | 2015 | Europe
|       | Destroy All Humans! Path of the Furon                                                   | THQ                                    | PlayStation 3 | 2009 | Europe
|       | Deus Ex: Human Revolution                                                               | Square Enix                            | PlayStation 3 | 2011 | Europe
|       | Deus Ex: Human Revolution - Director's Cut                                              | Square Enix                            | PlayStation 3 | 2013 | Europe
|       | Devil May Cry 4                                                                         | Capcom                                 | PlayStation 3 | 2008 | Europe
|       | Devil May Cry HD Collection                                                             | Capcom                                 | PlayStation 3 | 2012 | Europe
|       | Diablo III                                                                              | Blizzard Entertainment                 | PlayStation 3 | 2013 | Europe
|       | Diablo III: Ultimate Evil Edition                                                       | Blizzard Entertainment                 | PlayStation 3 | 2014 | Europe
|       | Digimon All-Star Rumble                                                                 | Bandai Namco Games                     | PlayStation 3 | 2014 | Europe
|       | DiRT 3                                                                                  | Codemasters                            | PlayStation 3 | 2011 | Europe
|       | DiRT Showdown                                                                           | Codemasters                            | PlayStation 3 | 2012 | Europe
|       | Disgaea 3: Absence of Justice                                                           | Square Enix                            | PlayStation 3 | 2009 | Europe
