|       | 007 Racing                                                                                      | Electronic Arts               | PlayStation | 2000 | North America
|       | Barbie Explorer                                                                                 | Havas Interactive             | PlayStation | 2001 | North America
|       | Barbie Super Sports                                                                             | Mattel                        | PlayStation | 1999 | North America
|       | Barbie: Gotta Have Games                                                                        | VU Games                      | PlayStation | 2003 | North America
|       | Barbie: Race & Ride                                                                             | Mattel                        | PlayStation | 1999 | North America
|       | Bases Loaded '96: Double Header                                                                 | Jaleco Entertainment          | PlayStation | 1995 | North America
|       | Bass Landing                                                                                    | Agetec Inc.                   | PlayStation | 2000 | North America
|       | Bass Rise                                                                                       | Bandai                        | PlayStation | 1999 | North America
|       | Batman & Robin                                                                                  | Acclaim                       | PlayStation | 1998 | North America
|       | Batman Beyond: Return of the Joker                                                              | Kemco                         | PlayStation | 2000 | North America
|       | Batman Forever: The Arcade Game                                                                 | Acclaim                       | PlayStation | 1996 | North America
|       | Batman: Gotham City Racer                                                                       | Ubisoft                       | PlayStation | 2001 | North America
|       | Battle Arena Toshinden                                                                          | SCEA                          | PlayStation | 1995 | North America
|       | Battle Arena Toshinden 2                                                                        | Playmates                     | PlayStation | 1996 | North America
|       | Battle Arena Toshinden 3                                                                        | Playmates                     | PlayStation | 1997 | North America
|       | Battle Hunter                                                                                   | Agetec Inc.                   | PlayStation | 2001 | North America
|       | Battle Stations                                                                                 | Electronic Arts               | PlayStation | 1997 | North America
|       | BattleSport                                                                                     | Acclaim                       | PlayStation | 1997 | North America
|       | BattleTanx: Global Assault                                                                      | 3DO                           | PlayStation | 2000 | North America
|       | Beast Wars: Transformers                                                                        | Hasbro Interactive            | PlayStation | 1997 | North America
|       | Beyblade: Let it Rip!                                                                           | Crave                         | PlayStation | 2002 | North America
|       | Beyond the Beyond                                                                               | SCEA                          | PlayStation | 1996 | North America
|       | Big Air                                                                                         | Accolade                      | PlayStation | 1999 | North America
|       | Big Bass Fishing                                                                                | Take-Two Interactive          | PlayStation | 2002 | North America
|       | Big Bass World Championship                                                                     | Hot-B                         | PlayStation | 1997 | North America
|       | Big League Slugger Baseball                                                                     | Agetec Inc.                   | PlayStation | 2003 | North America
|       | Big Ol' Bass 2                                                                                  | Konami                        | PlayStation | 2000 | North America
|       | Big Strike Bowling                                                                              | Take-Two Interactive          | PlayStation | 2003 | North America
|       | Billiards                                                                                       | Agetec Inc.                   | PlayStation | 2001 | North America
|       | Bio FREAKS                                                                                      | Midway                        | PlayStation | 1998 | North America
|       | Black Bass with Blue Marlin                                                                     | Hot B                         | PlayStation | 1999 | North America
|       | Black Dawn                                                                                      | Virgin Interactive            | PlayStation | 1996 | North America
|       | Blade                                                                                           | Activision                    | PlayStation | 2000 | North America
|       | Blast Chamber                                                                                   | Activision                    | PlayStation | 1996 | North America
|       | Blast Lacrosse                                                                                  | Acclaim                       | PlayStation | 2001 | North America
|       | Blast Radius                                                                                    | Psygnosis                     | PlayStation | 1999 | North America
|       | Blaster Master: Blasting Again                                                                  | Crave                         | PlayStation | 2001 | North America
|       | Blasto                                                                                          | SCEA                          | PlayStation | 1998 | North America
|       | Blazing Dragons                                                                                 | Mindscape Inc.                | PlayStation | 1996 | North America
|       | Blockids                                                                                        | Natsume                       | PlayStation | 2003 | North America
|       | Blood Omen: Legacy of Kain                                                                      | Crystal Dynamics              | PlayStation | 1996 | North America
|       | Blood Omen: Legacy of Kain / Legacy of Kain: Soul Reaver / Fighting Force - Collector's Edition | Eidos Interactive             | PlayStation | 2002 | North America
|       | Bloody Roar                                                                                     | SCEA                          | PlayStation | 1997 | North America
|       | Bloody Roar II                                                                                  | SCEA                          | PlayStation | 1999 | North America
|       | Blue's Clues: Blue's Big Musical                                                                | THQ                           | PlayStation | 2001 | North America
|       | Board Game: Top Shop                                                                            | A1 Games                      | PlayStation | 2001 | North America
|       | Board Game: Top Shop                                                                            | A1 Games                      | PlayStation | 2001 | North America
|       | Bob the Builder: Can We Fix It?                                                                 | THQ                           | PlayStation | 2001 | North America
|       | Bogey: Dead 6                                                                                   | SCEA                          | PlayStation | 1996 | North America
|       | Bomberman Fantasy Race                                                                          | ATLUS                         | PlayStation | 1999 | North America
|       | Bomberman Party Edition                                                                         | Vatical Entertainment         | PlayStation | 2000 | North America
|       | Bomberman World                                                                                 | ATLUS                         | PlayStation | 1998 | North America
|       | Bombing Islands, The                                                                            | Kemco                         | PlayStation | 2001 | North America
|       | Boombots                                                                                        | SouthPeak Games               | PlayStation | 1999 | North America
|       | Bottom of the 9th                                                                               | Konami                        | PlayStation | 1996 | North America
|       | Bottom of the 9th '97                                                                           | Konami                        | PlayStation | 1997 | North America
|       | Bottom of the 9th '99                                                                           | Konami                        | PlayStation | 1998 | North America
|       | Bowling                                                                                         | Agetec Inc.                   | PlayStation | 2001 | North America
|       | Boxing                                                                                          | A1 Games                      | PlayStation | 2001 | North America
|       | BRAHMA Force: The Assault on Beltlogger 9                                                       | Jaleco Entertainment          | PlayStation | 1997 | North America
|       | Brain Dead 13                                                                                   | ReadySoft                     | PlayStation | 1996 | North America
|       | Bratz                                                                                           | Ubisoft                       | PlayStation | 2003 | North America
|       | Brave Fencer Musashi                                                                            | Square EA                     | PlayStation | 1998 | North America
|       | Bravo Air Race                                                                                  | THQ                           | PlayStation | 1997 | North America
|       | Breakout                                                                                        | Hasbro Interactive            | PlayStation | 2000 | North America
|       | Breath of Fire III                                                                              | Capcom                        | PlayStation | 1998 | North America
|       | Breath of Fire IV                                                                               | Capcom                        | PlayStation | 2000 | North America
|       | Brigandine: The Legend of Forsena                                                               | ATLUS                         | PlayStation | 1998 | North America
|       | Broken Helix                                                                                    | Konami                        | PlayStation | 1997 | North America
|       | Broken Sword II: The Smoking Mirror                                                             | Crave                         | PlayStation | 1999 | North America
|       | Broken Sword: The Shadow of the Templars                                                        | THQ                           | PlayStation | 1998 | North America
|       | Brunswick Circuit Pro Bowling                                                                   | THQ                           | PlayStation | 1998 | North America
|       | Brunswick Circuit Pro Bowling 2                                                                 | THQ                           | PlayStation | 2000 | North America
|       | Bubble Bobble also featuring Rainbow Islands                                                    | Acclaim                       | PlayStation | 1996 | North America
|       | Bubsy 3D                                                                                        | Accolade                      | PlayStation | 1996 | North America
|       | Bugriders: The Race of Kings                                                                    | GT Interactive                | PlayStation | 1997 | North America
|       | Bugs Bunny & Taz: Time Busters                                                                  | Infogrames                    | PlayStation | 2000 | North America
|       | Bugs Bunny: Lost in Time                                                                        | Infogrames                    | PlayStation | 1999 | North America
|       | Builder's Block                                                                                 | Jaleco Entertainment          | PlayStation | 2000 | North America
|       | Burning Road                                                                                    | Playmates                     | PlayStation | 1996 | North America
|       | Burstrick: Wake Boarding!!                                                                      | Natsume                       | PlayStation | 2001 | North America
|       | Bushido Blade                                                                                   | SCEA                          | PlayStation | 1997 | North America
|       | Bushido Blade 2                                                                                 | Square EA                     | PlayStation | 1998 | North America
|       | Bust A Groove                                                                                   | 989 Sports                    | PlayStation | 1998 | North America
|       | Bust A Groove 2                                                                                 | Enix Corporation              | PlayStation | 1999 | North America
|       | Bust-A-Move '99                                                                                 | Acclaim                       | PlayStation | 1999 | North America
|       | Bust-A-Move 2 Arcade Edition                                                                    | Acclaim                       | PlayStation | 1996 | North America
|       | Bust-A-Move 4                                                                                   | Natsume                       | PlayStation | 1998 | North America
|       | Buster Bros. Collection                                                                         | Capcom                        | PlayStation | 1997 | North America
|       | C-12: Final Resistance                                                                          | SCEA                          | PlayStation | 2002 | North America
|       | C: The Contra Adventure                                                                         | Konami                        | PlayStation | 1998 | North America
|       | Cabela's Big Game Hunter: Ultimate Challenge                                                    | Activision                    | PlayStation | 2001 | North America
|       | Cabela's Ultimate Deer Hunt: Open Season                                                        | Activision                    | PlayStation | 2002 | North America
|       | Caesars Palace                                                                                  | Interplay                     | PlayStation | 1997 | North America
|       | Caesars Palace 2000: Millennium Gold Edition                                                    | Interplay                     | PlayStation | 2000 | North America
|       | Caesars Palace II                                                                               | Interplay                     | PlayStation | 1998 | North America
|       | Calamity 1: The Natural World                                                                   | Lightspan                     | PlayStation | 1997 | North America
|       | Calamity 2: People and Traditions                                                               | Lightspan                     | PlayStation | 1997 | North America
|       | Calamity 3: Around the World                                                                    | Lightspan                     | PlayStation | 1997 | North America
|       | Cali's Geo Tools                                                                                | Lightspan                     | PlayStation | 1997 | North America
|       | Capcom vs. SNK Pro                                                                              | Capcom                        | PlayStation | 2002 | North America
|       | Car and Driver Presents: Grand Tour Racing '98                                                  | Activision                    | PlayStation | 1997 | North America
|       | Card Games                                                                                      | Agetec Inc.                   | PlayStation | 2001 | North America
|       | Cardinal Syn                                                                                    | 989 Studios                   | PlayStation | 1998 | North America
|       | Carnage Heart                                                                                   | SCEA                          | PlayStation | 1997 | North America
|       | CART World Series                                                                               | SCEA                          | PlayStation | 1997 | North America
|       | Casper                                                                                          | Interplay                     | PlayStation | 1996 | North America
|       | Casper: Friends Around the World                                                                | Sound Source                  | PlayStation | 2000 | North America
|       | Castlevania Chronicles                                                                          | Konami                        | PlayStation | 2001 | North America
|       | Castlevania: Symphony of the Night                                                              | Konami                        | PlayStation | 1997 | North America
|       | Castrol Honda Superbike Racing                                                                  | Electronic Arts               | PlayStation | 1999 | North America
|       | Cat in the Hat, The                                                                             | NewKidCo                      | PlayStation | 2004 | North America
|       | Centipede                                                                                       | Hasbro Interactive            | PlayStation | 1999 | North America
|       | Championship Bass                                                                               | Electronic Arts               | PlayStation | 2000 | North America
|       | Championship Motocross 2001 featuring Ricky Carmichael                                          | THQ                           | PlayStation | 2001 | North America
|       | Championship Motocross Featuring Ricky Carmichael                                               | THQ                           | PlayStation | 1999 | North America
|       | Championship Surfer                                                                             | Mattel                        | PlayStation | 2000 | North America
|       | Chess                                                                                           | A1 Games                      | PlayStation | 2013 | North America
|       | Chessmaster 3-D, The                                                                            | Mindscape Inc.                | PlayStation | 1996 | North America
|       | Chessmaster II                                                                                  | Mindscape Inc.                | PlayStation | 1999 | North America
|       | Chicken Run                                                                                     | Eidos Interactive             | PlayStation | 2000 | North America
|       | Chocobo Racing                                                                                  | Square EA                     | PlayStation | 1999 | North America
|       | Chocobo's Dungeon 2                                                                             | Square EA                     | PlayStation | 1999 | North America
|       | Chronicles of the Sword                                                                         | Psygnosis                     | PlayStation | 1996 | North America
|       | Chrono Cross                                                                                    | Square EA                     | PlayStation | 2000 | North America
|       | Circuit Breakers                                                                                | Mindscape Inc.                | PlayStation | 1998 | North America
|       | Civilization II                                                                                 | Activision                    | PlayStation | 1998 | North America
|       | Cleopatra's Fortune                                                                             | Mud Duck Productions          | PlayStation | 2013 | North America
|       | Clock Tower                                                                                     | ASCII Entertainment           | PlayStation | 1997 | North America
|       | Clock Tower II: The Struggle Within                                                             | Agetec Inc.                   | PlayStation | 1999 | North America
|       | Codemasters Demo CD                                                                             | Codemasters                   | PlayStation | 2000 | North America
|       | CodeName: Tenka                                                                                 | SCEA                          | PlayStation | 1997 | North America
|       | Colin McRae Rally                                                                               | SCEA                          | PlayStation | 2000 | North America
|       | Colin McRae Rally 2.0                                                                           | Codemasters                   | PlayStation | 2000 | North America
|       | College Slam                                                                                    | Acclaim                       | PlayStation | 1996 | North America
|       | Colony Wars                                                                                     | Psygnosis                     | PlayStation | 1997 | North America
|       | Colony Wars III: Red Sun                                                                        | Midway                        | PlayStation | 2000 | North America
|       | Colony Wars: Vengeance                                                                          | Psygnosis                     | PlayStation | 1998 | North America
|       | Command & Conquer                                                                               | Westwood Studios              | PlayStation | 1997 | North America
|       | Command & Conquer: Red Alert                                                                    | Westwood Studios              | PlayStation | 1997 | North America
|       | Command & Conquer: Red Alert - Retaliation                                                      | Westwood Studios              | PlayStation | 1998 | North America
|       | Contender                                                                                       | SCEA                          | PlayStation | 1998 | North America
|       | Contender 2                                                                                     | Bam Entertainment             | PlayStation | 2000 | North America
|       | Contra: Legacy of War                                                                           | Konami                        | PlayStation | 1996 | North America
|       | Cool Boarders                                                                                   | SCEA                          | PlayStation | 1996 | North America
|       | Cool Boarders 2                                                                                 | SCEA                          | PlayStation | 1997 | North America
|       | Cool Boarders 2001                                                                              | SCEA                          | PlayStation | 2000 | North America
|       | Cool Boarders 3                                                                                 | 989 Studios                   | PlayStation | 1998 | North America
|       | Cool Boarders 4                                                                                 | 989 Studios                   | PlayStation | 1999 | North America
|       | Cosmic Cookoff: Language Arts                                                                   | Lightspan                     | PlayStation | 1997 | North America
|       | Cosmic Cookoff: Mathematics                                                                     | Lightspan                     | PlayStation | 1997 | North America
|       | Countdown Vampires                                                                              | Bandai                        | PlayStation | 2000 | North America
|       | Courier Crisis                                                                                  | GT Interactive                | PlayStation | 1997 | North America
|       | Covert Ops: Nuclear Dawn                                                                        | Activision                    | PlayStation | 2000 | North America
|       | Crash Bandicoot                                                                                 | SCEA                          | PlayStation | 1996 | North America
|       | Crash Bandicoot 2: Cortex Strikes Back                                                          | SCEA                          | PlayStation | 1997 | North America
|       | Crash Bandicoot Collector's Edition                                                             | SCEA                          | PlayStation | 2002 | North America
|       | Crash Bandicoot: Warped                                                                         | SCEA                          | PlayStation | 1998 | North America
|       | Crash Bash                                                                                      | SCEA                          | PlayStation | 2000 | North America
|       | Crash Bash & Spryo the Dragon: Year of the Dragon Demo CD                                       | SCEA                          | PlayStation | 2001 | North America
|       | Crash Team Racing                                                                               | SCEA                          | PlayStation | 1999 | North America
|       | Creative Camp                                                                                   | Lightspan                     | PlayStation | 1997 | North America
|       | Creative Isle                                                                                   | Lightspan                     | PlayStation | 1997 | North America
|       | Creative Journey 1                                                                              | Lightspan                     | PlayStation | 1998 | North America
|       | Creative Voyage                                                                                 | Lightspan                     | PlayStation | 1999 | North America
|       | Creatures                                                                                       | Conspiracy Entertainment      | PlayStation | 2002 | North America
|       | Creatures: Raised in Space                                                                      | Conspiracy Entertainment      | PlayStation | 2013 | North America
|       | Crime Killer                                                                                    | Interplay                     | PlayStation | 1998 | North America
|       | Critical Depth                                                                                  | GT Interactive                | PlayStation | 1997 | North America
|       | Criticom                                                                                        | Vic Tokai                     | PlayStation | 1995 | North America
