|       | 007 Shitou                                                   | Tengen                       | Sega Genesis | 1993 | Japan
|       | Batman                                                       | SunSoft                      | Sega Genesis | 1990 | Japan
|       | Batman Forever                                               | Acclaim Japan                | Sega Genesis | 1995 | Japan
|       | Batman Returns                                               | Sega                         | Sega Genesis | 1993 | Japan
|       | Battle Golfer Yui                                            | Sega                         | Sega Genesis | 1991 | Japan
|       | Battle Mania                                                 | Vic Tokai                    | Sega Genesis | 1992 | Japan
|       | Battle Mania: Daiginjou                                      | Vic Tokai                    | Sega Genesis | 1993 | Japan
|       | Battletoads                                                  | Sega                         | Sega Genesis | 1993 | Japan
|       | Beast Warriors                                               | Riot                         | Sega Genesis | 1991 | Japan
|       | Bishoujo Senshi Sailor Moon                                  | Ma-Ba                        | Sega Genesis | 1994 | Japan
|       | Blockout                                                     | Sega                         | Sega Genesis | 1991 | Japan
|       | Blue Almanac                                                 | Kodansha                     | Sega Genesis | 1991 | Japan
|       | Bonanza Bros.                                                | Sega                         | Sega Genesis | 1991 | Japan
|       | Boogie Woogie Bowling                                        | Visco                        | Sega Genesis | 1993 | Japan
|       | Burning Force                                                | Namco                        | Sega Genesis | 1990 | Japan
|       | Caesar no Yabou                                              | Micronet                     | Sega Genesis | 1991 | Japan
|       | Caesar no Yabou II                                           | Micronet                     | Sega Genesis | 1992 | Japan
|       | Captain Lang                                                 | Data East                    | Sega Genesis | 1994 | Japan
|       | Chameleon Kid                                                | Sega                         | Sega Genesis | 1992 | Japan
|       | Champions World Class Soccer                                 | Acclaim Japan                | Sega Genesis | 1994 | Japan
|       | Chelnov                                                      | Data East                    | Sega Genesis | 1992 | Japan
|       | Chibi Maruko-Chan: Waku Waku Shopping                        | Namco                        | Sega Genesis | 1992 | Japan
|       | Chiki Chiki Boys                                             | Sega                         | Sega Genesis | 1992 | Japan
|       | Chou Touryuu Retsuden: Dino Land                             | Wolf Team                    | Sega Genesis | 1991 | Japan
|       | Choukyuukai Miracle Nine                                     | Sega                         | Sega Genesis | 1995 | Japan
|       | Chuck Rock II                                                | Virgin Interactive           | Sega Genesis | 1994 | Japan
|       | Columns                                                      | Sega                         | Sega Genesis | 1990 | Japan
|       | Columns III: Taiketsu! Columns World                         | Sega                         | Sega Genesis | 1993 | Japan
|       | Comix Zone                                                   | Sega                         | Sega Genesis | 1995 | Japan
|       | Contra: The Hard Corps                                       | Konami                       | Sega Genesis | 1994 | Japan
|       | Cool Spot                                                    | Virgin Interactive           | Sega Genesis | 1994 | Japan
|       | Crack Down                                                   | Sega                         | Sega Genesis | 1990 | Japan
|       | Crayon Shin-Chan: Arashi o Yobu Enji                         | Ma-Ba                        | Sega Genesis | 1994 | Japan
|       | Crude Buster                                                 | Data East                    | Sega Genesis | 1992 | Japan
|       | Crue Ball                                                    | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | Crying: Aseimei Sensou                                       | Sega                         | Sega Genesis | 1992 | Japan
|       | Curse                                                        | Micronet                     | Sega Genesis | 1989 | Japan
|       | Cutie Suzuki no Ringside Angel                               | Asmik Ace Entertainment, Inc | Sega Genesis | 1990 | Japan
|       | Cyberball                                                    | Sega                         | Sega Genesis | 1990 | Japan
|       | Dahna: Megami Tanjou                                         | IGS (Japan)                  | Sega Genesis | 1991 | Japan
|       | Dai Makai-Mura                                               | Sega                         | Sega Genesis | 1989 | Japan
|       | Daikoukai Jidai                                              | Koei                         | Sega Genesis | 1992 | Japan
|       | Daikoukai Jidai II                                           | Koei                         | Sega Genesis | 1994 | Japan
|       | Daisenpuu                                                    | Sega                         | Sega Genesis | 1990 | Japan
|       | Dangerous Seed                                               | Namco                        | Sega Genesis | 1990 | Japan
|       | Darius II                                                    | Taito Corporation            | Sega Genesis | 1990 | Japan
|       | Darwin 4081                                                  | Sega                         | Sega Genesis | 1990 | Japan
|       | David Robinson Basketball                                    | Sega                         | Sega Genesis | 1992 | Japan
|       | Davis Cup Tennis                                             | Tengen                       | Sega Genesis | 1994 | Japan
|       | Desert Strike: Wangan Sakusen                                | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | Devil Crash MD                                               | TechnoSoft                   | Sega Genesis | 1991 | Japan
|       | Devil's Course                                               | Sega                         | Sega Genesis | 1994 | Japan
|       | Dick Tracy                                                   | Sega                         | Sega Genesis | 1991 | Japan
|       | Disney's Aladdin                                             | Sega                         | Sega Genesis | 1993 | Japan
|       | Disney's The Lion King                                       | Sega                         | Sega Genesis | 1994 | Japan
|       | Divine Sealing                                               | CYX                          | Sega Genesis | 1991 | Japan
|       | DJ Boy                                                       | Sega                         | Sega Genesis | 1990 | Japan
|       | Doraemon: Yume Dorobou to 7-Jin no Gozans                    | Sega                         | Sega Genesis | 1993 | Japan
|       | Double Dragon II: The Revenge                                | PalSoft                      | Sega Genesis | 1991 | Japan
|       | Dragon Ball Z: Buyuu Retsuden                                | Bandai                       | Sega Genesis | 1994 | Japan
|       | Dragon Slayer: Eiyuu Densetsu                                | Sega                         | Sega Genesis | 1994 | Japan
|       | Dragon Slayer: Eiyuu Densetsu II                             | Sega                         | Sega Genesis | 1995 | Japan
|       | Dragon's Eye Plus: Shanghai 3                                | Home Data                    | Sega Genesis | 1991 | Japan
|       | Dragon's Revenge                                             | Tengen                       | Sega Genesis | 1993 | Japan
|       | Dream Team USA                                               | Electronic Arts Victor       | Sega Genesis | 1992 | Japan
|       | Dyna Brothers                                                | CRI                          | Sega Genesis | 1992 | Japan
|       | Dyna Brothers 2                                              | CRI                          | Sega Genesis | 1993 | Japan
|       | Dynamite Duke                                                | Sega                         | Sega Genesis | 1990 | Japan
|       | Dynamite Headdy                                              | Sega                         | Sega Genesis | 1994 | Japan
|       | Ecco the Dolphin                                             | Sega                         | Sega Genesis | 1993 | Japan
|       | Ecco the Dolphin 2                                           | Sega                         | Sega Genesis | 1994 | Japan
|       | El Viento                                                    | Wolf Team                    | Sega Genesis | 1991 | Japan
|       | Elemental Master                                             | TechnoSoft                   | Sega Genesis | 1993 | Japan
|       | Eliminate Down                                               | Soft Vision International    | Sega Genesis | 1993 | Japan
|       | ESWAT: Cyber Police                                          | Sega                         | Sega Genesis | 1990 | Japan
|       | Eternal Champions                                            | Sega                         | Sega Genesis | 1993 | Japan
|       | Europa Sensen                                                | Koei                         | Sega Genesis | 1994 | Japan
|       | Evander 'Real Deal' Holyfield's Boxing                       | Sega                         | Sega Genesis | 1992 | Japan
|       | Ex-Ranza                                                     | Sega                         | Sega Genesis | 1993 | Japan
|       | Exile: Toki no Hazama e                                      | Riot                         | Sega Genesis | 1991 | Japan
|       | F-117 Stealth: Operation Night Storm                         | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | F-22 Interceptor                                             | Electronic Arts Victor       | Sega Genesis | 1991 | Japan
|       | F1 Circus MD                                                 | Nichibutsu                   | Sega Genesis | 1991 | Japan
|       | Fantasia: Mickey Mouse Magic                                 | Sega                         | Sega Genesis | 1991 | Japan
|       | Fastest 1                                                    | Human Entertainment          | Sega Genesis | 1991 | Japan
|       | Fat Man                                                      | Sanritsu Denki               | Sega Genesis | 1991 | Japan
|       | FIFA International Soccer                                    | EA Sports                    | Sega Genesis | 1994 | Japan
|       | Fighting Masters                                             | Treco                        | Sega Genesis | 1991 | Japan
|       | Final Blow                                                   | Taito Corporation            | Sega Genesis | 1990 | Japan
|       | Fire Mustang                                                 | Taito Corporation            | Sega Genesis | 1991 | Japan
|       | Flashback                                                    | SunSoft                      | Sega Genesis | 1993 | Japan
|       | Flintstones, The                                             | Taito Corporation            | Sega Genesis | 1993 | Japan
|       | Foreman For Real                                             | Acclaim                      | Sega Genesis | 1995 | Japan
|       | Forgotten Worlds                                             | Sega                         | Sega Genesis | 1989 | Japan
|       | From TV Animation: Slam Dunk: Kyougou Makkou Taiketsu!       | Bandai                       | Sega Genesis | 1995 | Japan
|       | Fushigi no Umi no Nadia                                      | Namco                        | Sega Genesis | 1991 | Japan
|       | FZ Senki Axis                                                | Wolf Team                    | Sega Genesis | 1990 | Japan
|       | G-LOC Air Battle                                             | Sega                         | Sega Genesis | 1993 | Japan
|       | Gaiares                                                      | Nippon Telenet               | Sega Genesis | 1990 | Japan
|       | Gain Ground                                                  | Sega                         | Sega Genesis | 1991 | Japan
|       | Galaxy Force II                                              | CRI                          | Sega Genesis | 1991 | Japan
|       | Gambler Jiko Chuushinha: Katayama Masayuki no Mahjong Doujou | Game Arts                    | Sega Genesis | 1990 | Japan
|       | Gambler Jiko Chuushinha: Katayama Masayuki no Mahjong Doujou | Game Arts                    | Sega Genesis | 1990 | Japan
|       | Garou Densetsu 2: Aratanaru Tatakai                          | Takara                       | Sega Genesis | 1994 | Japan
|       | Garou Densetsu: Shukumei no Tatakai                          | Sega                         | Sega Genesis | 1993 | Japan
|       | Gauntlet                                                     | Tengen                       | Sega Genesis | 1993 | Japan
|       | General Chaos: Daikonsen                                     | Electronic Arts Victor       | Sega Genesis | 1994 | Japan
|       | Ghostbusters                                                 | Sega                         | Sega Genesis | 1990 | Japan
|       | Go Net                                                       | Sega                         | Sega Genesis | 1992 | Japan
|       | Gods                                                         | PCM Complete                 | Sega Genesis | 1993 | Japan
|       | Golden Axe                                                   | Sega                         | Sega Genesis | 1989 | Japan
|       | Golden Axe II                                                | Sega                         | Sega Genesis | 1991 | Japan
|       | Golden Axe III                                               | Sega                         | Sega Genesis | 1993 | Japan
|       | Gouketuji Ichizoku                                           | ATLUS                        | Sega Genesis | 1994 | Japan
|       | Granada                                                      | Wolf Team                    | Sega Genesis | 1990 | Japan
|       | Grand Slam                                                   | Nippon Telenet               | Sega Genesis | 1992 | Japan
|       | Greatest Heavyweights                                        | Sega                         | Sega Genesis | 1994 | Japan
|       | Gunstar Heroes                                               | Sega                         | Sega Genesis | 1993 | Japan
|       | Gynoug                                                       | NCS                          | Sega Genesis | 1991 | Japan
|       | Hard Drivin'                                                 | Tengen                       | Sega Genesis | 1990 | Japan
|       | Harukanaru Augusta                                           | T&E Soft                     | Sega Genesis | 1993 | Japan
|       | Heavy Unit: Mega Drive Special                               | Toho                         | Sega Genesis | 1990 | Japan
|       | Hellfire                                                     | NCS                          | Sega Genesis | 1990 | Japan
|       | Herzog Zwei                                                  | TechnoSoft                   | Sega Genesis | 1989 | Japan
|       | Hokuto no Ken: Shinseiki Ura Kyuusei Aruji Densetsu          | Sega                         | Sega Genesis | 1989 | Japan
|       | Honoo no Doukyuuji: Dodge Danpei                             | Sega                         | Sega Genesis | 1992 | Japan
|       | Honoo no Doukyuuji: Dodge Danpei                             | Sega                         | Sega Genesis | 1992 | Japan
|       | Hybrid Front, The                                            | Sega                         | Sega Genesis | 1994 | Japan
|       | Hyokkori Hyoutan Jima                                        | Sega                         | Sega Genesis | 1992 | Japan
|       | Hyper Dunk: The Playoff Edition                              | Konami                       | Sega Genesis | 1994 | Japan
|       | Hyper Dunk: The Playoff Edition                              | Konami                       | Sega Genesis | 1994 | Japan
|       | I Love Donald Duck: Guruzia Ou no Hihou                      | Sega                         | Sega Genesis | 1991 | Japan
|       | I Love Mickey & Donald Fushigi na Magic Box                  | Sega                         | Sega Genesis | 1992 | Japan
|       | I Love Mickey Mouse: Fushigi no Oshiro Daibouken             | Sega                         | Sega Genesis | 1990 | Japan
|       | Insector X                                                   | Hot-B                        | Sega Genesis | 1990 | Japan
|       | J-League Champion Soccer                                     | Game Arts                    | Sega Genesis | 1992 | Japan
|       | J.League Pro Striker                                         | Sega                         | Sega Genesis | 1993 | Japan
|       | J.League Pro Striker 2                                       | Sega                         | Sega Genesis | 1994 | Japan
|       | J.League Pro Striker Kanzenban                               | Sega                         | Sega Genesis | 1993 | Japan
|       | James Pond II: Codename: Robocod                             | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | Janou Touryumon                                              | Sega                         | Sega Genesis | 1993 | Japan
|       | Jantei Monogatari                                            | Telenet Japan                | Sega Genesis | 1991 | Japan
|       | Jashin Draxos                                                | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | Jewel Master                                                 | Sega                         | Sega Genesis | 1991 | Japan
|       | Joe Montana Football                                         | Sega                         | Sega Genesis | 1991 | Japan
|       | Joe Montana II: Sports Talk Football                         | Sega                         | Sega Genesis | 1992 | Japan
|       | Jordan vs Bird: One on One                                   | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | Judge Dredd                                                  | Acclaim Japan                | Sega Genesis | 1995 | Japan
|       | JuJu Densetsu                                                | Sega                         | Sega Genesis | 1992 | Japan
|       | Junction                                                     | Micronet                     | Sega Genesis | 1990 | Japan
|       | Jungle Strike: Uketsugareta Kyouki                           | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | Jurassic Park                                                | Sega                         | Sega Genesis | 1993 | Japan
|       | Justice League Task Force                                    | Acclaim Japan                | Sega Genesis | 1995 | Japan
|       | Juuouki                                                      | Sega                         | Sega Genesis | 1988 | Japan
|       | Ka Ge Ki                                                     | Hot-B                        | Sega Genesis | 1991 | Japan
|       | Kick Boxing, The                                             | Micro World                  | Sega Genesis | 1993 | Japan
|       | Kidou Keisatsu Patlabor: 98-Shiki Kidou Seyo!                | Ma-Ba                        | Sega Genesis | 1992 | Japan
|       | Killing Game Show, The                                       | Electronic Arts Victor       | Sega Genesis | 1991 | Japan
|       | King of the Monsters                                         | Sega                         | Sega Genesis | 1993 | Japan
|       | King Salmon                                                  | Hot-B                        | Sega Genesis | 1992 | Japan
|       | Kishi Densetsu                                               | Kodansha                     | Sega Genesis | 1993 | Japan
|       | Klax                                                         | Namco                        | Sega Genesis | 1990 | Japan
|       | Koutetsu Teikoku                                             | Hot-B                        | Sega Genesis | 1992 | Japan
|       | Kuhga: Operation Code 'Vapor Trail'                          | Riot                         | Sega Genesis | 1991 | Japan
|       | Kujaku Ou 2: Geneishiro                                      | Sega                         | Sega Genesis | 1989 | Japan
|       | Kyuukai Douchuuki                                            | Namco                        | Sega Genesis | 1991 | Japan
|       | Kyuukyoku Tiger                                              | Treco                        | Sega Genesis | 1991 | Japan
|       | Landstalker: Koutei no Zaihou                                | Sega                         | Sega Genesis | 1992 | Japan
|       | Langrisser                                                   | NCS                          | Sega Genesis | 1991 | Japan
|       | Langrisser II                                                | NCS                          | Sega Genesis | 1994 | Japan
|       | Lemmings                                                     | SunSoft                      | Sega Genesis | 1992 | Japan
|       | Lethal Enforcers                                             | Konami                       | Sega Genesis | 1993 | Japan
|       | LHX Attack Chopper                                           | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | Light Crusader                                               | Sega                         | Sega Genesis | 1995 | Japan
|       | Lord Monarch: Tokoton Sentou Densetsu                        | Sega                         | Sega Genesis | 1994 | Japan
|       | Madou Monogatari I                                           | Compile                      | Sega Genesis | 1996 | Japan
|       | Magical * Taruruuto-kun                                      | Sega                         | Sega Genesis | 1992 | Japan
|       | Magical Hat no Buttobi Tabo! Daibouken                       | Sega                         | Sega Genesis | 1990 | Japan
|       | Mahjong Cop Ryuu: Shiro Ookami no Yabou                      | Sega                         | Sega Genesis | 1989 | Japan
|       | Mamono Hunter Yohko: Dai-7 no Keishou                        | NCS                          | Sega Genesis | 1991 | Japan
|       | Maou Renjishi                                                | Taito Corporation            | Sega Genesis | 1991 | Japan
|       | Marble Madness                                               | Tengen                       | Sega Genesis | 1993 | Japan
|       | Marvel Land                                                  | Namco                        | Sega Genesis | 1991 | Japan
|       | Master of Monsters                                           | Toshiba EMI                  | Sega Genesis | 1991 | Japan
|       | Master of Weapon                                             | Taito Corporation            | Sega Genesis | 1991 | Japan
|       | Maten no Soumetsu                                            | Kodansha                     | Sega Genesis | 1993 | Japan
|       | Mazin Saga                                                   | Sega                         | Sega Genesis | 1993 | Japan
|       | McDonald's Treasure Land Adventure                           | Sega                         | Sega Genesis | 1993 | Japan
|       | Mega Lo Mania                                                | CRI                          | Sega Genesis | 1993 | Japan
|       | Mega Lo Mania                                                | CRI                          | Sega Genesis | 1993 | Japan
|       | Megapanel                                                    | Namco                        | Sega Genesis | 1990 | Japan
|       | MegaTrax                                                     | Namco                        | Sega Genesis | 1991 | Japan
|       | Metal Fangs                                                  | Victor Interactive Software  | Sega Genesis | 1993 | Japan
|       | Michael Jackson's Moonwalker                                 | Sega                         | Sega Genesis | 1990 | Japan
|       | Mickey Mania: The Timeless Adventures of Mickey Mouse        | Sega                         | Sega Genesis | 1995 | Japan
|       | Mickey to Minnie: Magical Adventure 2                        | Capcom                       | Sega Genesis | 1994 | Japan
|       | Midnight Resistance                                          | Data East                    | Sega Genesis | 1991 | Japan
|       | MIG-29 Fighter Pilot                                         | Tengen                       | Sega Genesis | 1993 | Japan
|       | Minato no Traysia                                            | Riot                         | Sega Genesis | 1992 | Japan
|       | Monster Lair                                                 | Sega                         | Sega Genesis | 1990 | Japan
|       | Monster World IV                                             | Sega                         | Sega Genesis | 1994 | Japan
|       | Mortal Kombat II                                             | Acclaim Japan                | Sega Genesis | 1994 | Japan
|       | Mortal Kombat: Shinken Kourin Densetsu                       | Acclaim Japan                | Sega Genesis | 1994 | Japan
|       | Mugen Senshi Valis                                           | Riot                         | Sega Genesis | 1991 | Japan
|       | Musha Aleste                                                 | Toaplan                      | Sega Genesis | 1990 | Japan
|       | Mutant League Football                                       | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | Nakajima Satoru Kanshuu F-1 Grand Prix                       | Varie                        | Sega Genesis | 1991 | Japan
|       | Nakajima Satoru Kanshuu F-1 Grand Prix                       | Varie                        | Sega Genesis | 1991 | Japan
|       | Nakajima Satoru Kanshuu F-1 Hero MD                          | Varie                        | Sega Genesis | 1992 | Japan
|       | Nakajima Satoru Kanshuu F-1 Super License                    | Varie                        | Sega Genesis | 1992 | Japan
|       | Nakajima Satoru Kanshuu F-1 Super License                    | Varie                        | Sega Genesis | 1992 | Japan
|       | NBA Jam                                                      | Acclaim Japan                | Sega Genesis | 1994 | Japan
|       | NBA Jam Tournament Edition                                   | Acclaim                      | Sega Genesis | 1995 | Japan
|       | NBA Playoffs: Bulls vs Blazers                               | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | NBA Pro Basketball '94                                       | Electronic Arts Victor       | Sega Genesis | 1994 | Japan
|       | NBA Pro Basketball: Bulls vs Lakers and the NBA Playoffs     | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | Nekketsu Koukou Dodgeball-bu Soccer-hen MD                   | PalSoft                      | Sega Genesis | 1992 | Japan
|       | New 3D Golf Simulation: Waialae no Kiseki                    | Sega                         | Sega Genesis | 1994 | Japan
|       | New Zealand Story, The                                       | Taito Corporation            | Sega Genesis | 1990 | Japan
|       | NFL Football '94 Starring Joe Montana                        | Sega                         | Sega Genesis | 1994 | Japan
|       | NFL Pro Football '94                                         | Electronic Arts Victor       | Sega Genesis | 1994 | Japan
|       | NFL Quarterback Club '95                                     | Acclaim Japan                | Sega Genesis | 1995 | Japan
|       | Nigel Mansell Indy Car                                       | Acclaim Japan                | Sega Genesis | 1994 | Japan
|       | Nikkan Sports Pro Yakyuu VAN                                 | Sega                         | Sega Genesis | 1991 | Japan
|       | Ninja Burai Densetsu                                         | Sega                         | Sega Genesis | 1991 | Japan
|       | Nobunaga no Yabou: Bushou Fuuunsoku                          | Koei                         | Sega Genesis | 1991 | Japan
|       | Nobunaga no Yabou: Haouden                                   | Koei                         | Sega Genesis | 1994 | Japan
|       | Nobunaga no Yabou: Zenkokuban                                | Koei                         | Sega Genesis | 1993 | Japan
|       | Olympic Gold                                                 | Sega                         | Sega Genesis | 1992 | Japan
|       | Ooze, The                                                    | Sega                         | Sega Genesis | 1995 | Japan
|       | Osomatsu-kun: Hachamecha Gekijou                             | Sega                         | Sega Genesis | 1988 | Japan
|       | OutRun                                                       | Sega                         | Sega Genesis | 1991 | Japan
|       | Outrun 2019                                                  | Sega                         | Sega Genesis | 1993 | Japan
|       | OutRunners                                                   | Sega                         | Sega Genesis | 1994 | Japan
|       | Ozaki Naomichi no Super Masters                              | Sega                         | Sega Genesis | 1989 | Japan
|       | Pachinko Kuunyan                                             | Soft Vision International    | Sega Genesis | 1992 | Japan
|       | Panorama Cotton                                              | SunSoft                      | Sega Genesis | 1994 | Japan
|       | Paperboy                                                     | Tengen                       | Sega Genesis | 1992 | Japan
|       | Party Quiz Mega Q                                            | Sega                         | Sega Genesis | 1993 | Japan
|       | Pebble Beach no Hatou                                        | Sega                         | Sega Genesis | 1993 | Japan
|       | Pepenga Pengo                                                | Sega                         | Sega Genesis | 1995 | Japan
|       | PGA Tour Golf II                                             | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | Phantasy Star Fukkokuban                                     | Sega                         | Sega Genesis | 1994 | Japan
|       | Phantasy Star II: Kaerazaru Toki no Owari ni                 | Sega                         | Sega Genesis | 1989 | Japan
|       | Phantasy Star: Sennenki no Owari ni                          | Sega                         | Sega Genesis | 1993 | Japan
|       | Phelios                                                      | Namco                        | Sega Genesis | 1990 | Japan
|       | Pier Solar and the Great Architects                          | Watermelon Development       | Sega Genesis | 2010 | Japan
|       | Pit-Fighter                                                  | Tengen                       | Sega Genesis | 1992 | Japan
|       | Populous                                                     | Sega                         | Sega Genesis | 1991 | Japan
|       | Power Athlete                                                | Kaneko                       | Sega Genesis | 1992 | Japan
|       | Power Monger                                                 | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | Pro Football                                                 | Electronic Arts Victor       | Sega Genesis | 1992 | Japan
|       | Pro Hockey                                                   | Electronic Arts Victor       | Sega Genesis | 1992 | Japan
|       | Pro Striker Final Stage                                      | Sega                         | Sega Genesis | 1995 | Japan
|       | Pro Yakyuu Super League '91                                  | Sega                         | Sega Genesis | 1991 | Japan
|       | Psyoblade                                                    | Sigma Ent. Inc.              | Sega Genesis | 1990 | Japan
|       | Pulseman                                                     | Sega                         | Sega Genesis | 1994 | Japan
|       | Puyo Puyo                                                    | Sega                         | Sega Genesis | 1992 | Japan
|       | Puyo Puyo Tsuu                                               | Compile                      | Sega Genesis | 1994 | Japan
|       | Puzzle & Action: Ichidant-R                                  | Sega                         | Sega Genesis | 1995 | Japan
|       | Puzzle & Action: Tant-R                                      | Sega                         | Sega Genesis | 1994 | Japan
|       | R.B.I. Baseball 4                                            | Tengen                       | Sega Genesis | 1992 | Japan
|       | Raiden Densetsu                                              | Micronet                     | Sega Genesis | 1991 | Japan
|       | Rainbow Islands Extra                                        | Taito Corporation            | Sega Genesis | 1990 | Japan
|       | Rambo III                                                    | Sega                         | Sega Genesis | 1989 | Japan
|       | Rampart                                                      | Tengen                       | Sega Genesis | 1992 | Japan
|       | Ransei no Hasha                                              | Asmik Ace Entertainment, Inc | Sega Genesis | 1991 | Japan
|       | Rastan Saga II                                               | Taito Corporation            | Sega Genesis | 1990 | Japan
|       | Rent A Hero                                                  | Sega                         | Sega Genesis | 1991 | Japan
|       | Ristar: The Shooting Star                                    | Sega                         | Sega Genesis | 1995 | Japan
|       | Road Rash                                                    | Electronic Arts Victor       | Sega Genesis | 1992 | Japan
|       | Road Rash II                                                 | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | RoadBlasters                                                 | Tengen                       | Sega Genesis | 1992 | Japan
|       | RoboCop Versus The Terminator                                | Virgin Interactive           | Sega Genesis | 1994 | Japan
|       | Rocket Knight Adventures                                     | Konami                       | Sega Genesis | 1993 | Japan
|       | RockMan: Mega World                                          | Capcom                       | Sega Genesis | 1994 | Japan
|       | Rolling Thunder 2                                            | Namco                        | Sega Genesis | 1991 | Japan
|       | Royal Blood                                                  | Koei                         | Sega Genesis | 1992 | Japan
|       | Runark                                                       | Taito Corporation            | Sega Genesis | 1991 | Japan
|       | Ryuuko no Ken                                                | Sega                         | Sega Genesis | 1994 | Japan
|       | Saint Sword                                                  | Taito Corporation            | Sega Genesis | 1991 | Japan
|       | Same! Same! Same!                                            | Toaplan                      | Sega Genesis | 1990 | Japan
|       | Samurai Spirits                                              | Sega                         | Sega Genesis | 1994 | Japan
|       | San Goku Shi II                                              | Koei                         | Sega Genesis | 1991 | Japan
|       | San Goku Shi III                                             | Koei                         | Sega Genesis | 1992 | Japan
|       | San Goku Shi Retsuden: Ransei no Eiyuu Tachi                 | Sega                         | Sega Genesis | 1991 | Japan
|       | Sansan                                                       | Sansan                       | Sega Genesis | 1994 | Japan
|       | SD Valis                                                     | Laser Soft                   | Sega Genesis | 1992 | Japan
|       | Senjou no Ookami II                                          | Sega                         | Sega Genesis | 1991 | Japan
|       | Shadow Dancer: The Secret of Shinobi                         | Sega                         | Sega Genesis | 1990 | Japan
|       | Shadow of the Beast: Mashou no Okite                         | Victor Interactive Software  | Sega Genesis | 1992 | Japan
|       | Shijou Saidai no Soukoban                                    | NCS                          | Sega Genesis | 1990 | Japan
|       | Shikinjou                                                    | SunSoft                      | Sega Genesis | 1991 | Japan
|       | Shin Souseiki Ragnacenty                                     | Sega                         | Sega Genesis | 1994 | Japan
|       | Shining and the Darkness                                     | Sega                         | Sega Genesis | 1991 | Japan
|       | Shining Force II: Inishie no Fuuin                           | Sega                         | Sega Genesis | 1993 | Japan
|       | Shining Force: Kamigami no Isan                              | Sega                         | Sega Genesis | 1992 | Japan
|       | Shiten Myouou                                                | Sigma Ent. Inc.              | Sega Genesis | 1990 | Japan
|       | Shogi no Hoshi                                               | Home Data                    | Sega Genesis | 1991 | Japan
