|       | 2002 FIFA World Cup                           | Electronic Arts             | Xbox   | 2002 | Japan
|       | Metal Arms: Glitch in the System              | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Metal Dungeon                                 | Panther Software            | Xbox   | 2002 | Japan
|       | Metal Slug 3                                  | SNK Playmore                | Xbox   | 2004 | Japan
|       | Metal Slug 4                                  | SNK Playmore                | Xbox   | 2005 | Japan
|       | Metal Slug 5                                  | SNK Playmore                | Xbox   | 2005 | Japan
|       | Metal Wolf Chaos                              | From Software               | Xbox   | 2004 | Japan
|       | Midtown Madness 3                             | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | Moto GP 2                                     | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | Mr. Incredible                                | D3Publisher                 | Xbox   | 2004 | Japan
|       | Murakumo                                      | From Software               | Xbox   | 2002 | Japan
|       | Muzzle Flash                                  | Victor Interactive Software | Xbox   | 2003 | Japan
|       | Myst III: Exile                               | MediaQuest                  | Xbox   | 2002 | Japan
|       | N.U.D.E. Natural Ultimate Digital Experiment  | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | Nakashima Tetsunari no Othello Seminar        | Success                     | Xbox   | 2002 | Japan
|       | NBA Inside Drive 2004                         | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | NBA Live 2002                                 | Electronic Arts Victor      | Xbox   | 2002 | Japan
|       | Nezmix                                        | Microsoft Game Studios      | Xbox   | 2002 | Japan
|       | NFL Fever 2004                                | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | Ninja Gaiden                                  | Tecmo                       | Xbox   | 2004 | Japan
|       | Ninja Gaiden Black                            | Tecmo                       | Xbox   | 2005 | Japan
|       | Nobunaga Mahjong                              | E-Frontier                  | Xbox   | 2003 | Japan
|       | Nobunaga no Yabou: Ranseiki                   | Koei                        | Xbox   | 2002 | Japan
|       | Otogi                                         | From Software               | Xbox   | 2002 | Japan
|       | Otogi: Hyakki Toubatsu Emaki                  | From Software               | Xbox   | 2003 | Japan
|       | Outlaw Golf                                   | Simon & Schuster            | Xbox   | 2003 | Japan
|       | Outlaw Volleyball                             | Simon & Schuster            | Xbox   | 2003 | Japan
|       | OutRun2                                       | Sega                        | Xbox   | 2005 | Japan
|       | Panzer Dragoon Orta                           | Sega                        | Xbox   | 2002 | Japan
|       | Petit Copter                                  | Aqua Systems                | Xbox   | 2002 | Japan
|       | Phantasy Star Online Episode I & II           | Sega                        | Xbox   | 2003 | Japan
|       | Phantom Crash                                 | Genki                       | Xbox   | 2002 | Japan
|       | Phantom Dust                                  | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Plus Plum 2                                   | Takuyo                      | Xbox   | 2004 | Japan
|       | Prince of Persia: Kenshi no Kokoro            | Ubisoft                     | Xbox   | 2005 | Japan
|       | Project Gotham Racing                         | Microsoft Game Studios      | Xbox   | 2002 | Japan
|       | Project Gotham Racing 2                       | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | Psyvariar 2: Extend Edition                   | Success                     | Xbox   | 2004 | Japan
|       | Puyo Puyo Fever                               | Sega                        | Xbox   | 2004 | Japan
|       | Quantum Redshift                              | Microsoft Game Studios      | Xbox   | 2002 | Japan
|       | R: Racing Evolution                           | Namco                       | Xbox   | 2003 | Japan
|       | RalliSport Challenge                          | Microsoft Game Studios      | Xbox   | 2002 | Japan
|       | RalliSport Challenge 2                        | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Rapala Pro Fishing                            | Microsoft Game Studios      | Xbox   | 2005 | Japan
|       | Red Dead Revolver                             | Capcom                      | Xbox   | 2005 | Japan
|       | Rent A Hero No. 1                             | Cool Cool                   | Xbox   | 2003 | Japan
|       | Return to Castle Wolfenstein: Tides of War    | Activision                  | Xbox   | 2003 | Japan
|       | Rocky: Legends                                | Microsoft Game Studios      | Xbox   | 2005 | Japan
|       | Rogue Ops                                     | Kotobuki Systems            | Xbox   | 2004 | Japan
|       | Sega GT 2002                                  | Sega                        | Xbox   | 2002 | Japan
|       | Sega GT Online                                | Sega                        | Xbox   | 2003 | Japan
|       | Sengoku Musou                                 | Koei                        | Xbox   | 2004 | Japan
|       | Sentou Yousei Yuki Kaze                       | Aqua Systems                | Xbox   | 2003 | Japan
|       | Shadow the Hedgehog                           | Sega                        | Xbox   | 2005 | Japan
|       | Shikigami no Shiro                            | MediaQuest                  | Xbox   | 2002 | Japan
|       | Shikigami no Shiro Evolution                  | MediaQuest                  | Xbox   | 2002 | Japan
|       | Shikigami no Shiro II                         | Kids Station                | Xbox   | 2004 | Japan
|       | Shin Megami Tensei Nine                       | ATLUS                       | Xbox   | 2002 | Japan
|       | Shin Sangoku Musou 2                          | Koei                        | Xbox   | 2002 | Japan
|       | Shin Sangoku Musou 3                          | Koei                        | Xbox   | 2003 | Japan
|       | Shin Sangoku Musou 4                          | Koei                        | Xbox   | 2005 | Japan
|       | Shrek 2                                       | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Silent Hill 2: Saigo no Uta                   | Konami                      | Xbox   | 2002 | Japan
|       | Simpsons: Hit & Run, The                      | VU Games                    | Xbox   | 2003 | Japan
|       | Sonic Heroes                                  | Sega                        | Xbox   | 2003 | Japan
|       | Sonic Mega Collection Plus                    | Sega                        | Xbox   | 2004 | Japan
|       | Sonic Riders                                  | Sega                        | Xbox   | 2006 | Japan
|       | SoulCalibur II                                | Namco                       | Xbox   | 2003 | Japan
|       | Spider-Man: The Movie                         | Capcom                      | Xbox   | 2003 | Japan
|       | Spikeout Battle Street                        | Sega                        | Xbox   | 2005 | Japan
|       | SSX Tricky                                    | Electronic Arts             | Xbox   | 2002 | Japan
|       | Star Wars Jedi Knight: Jedi Academy           | LucasArts                   | Xbox   | 2004 | Japan
|       | Star Wars: Battlefront                        | Electronic Arts             | Xbox   | 2004 | Japan
|       | Star Wars: Republic Commando                  | Electronic Arts             | Xbox   | 2005 | Japan
|       | Street Fighter Anniversary Collection         | Capcom                      | Xbox   | 2004 | Japan
|       | Sudeki: Sennen no Akatsuki no Monogatari      | Microsoft Game Studios      | Xbox   | 2005 | Japan
|       | Super Monkey Ball Deluxe                      | Sega                        | Xbox   | 2005 | Japan
|       | SVC Chaos: SNK vs. Capcom                     | SNK Playmore                | Xbox   | 2004 | Japan
|       | SWAT: Global Strike Team                      | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Takahashi Akiko no Mahjong Seminar            | Success                     | Xbox   | 2002 | Japan
|       | Tao Feng: Fist of the Lotus                   | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | Tecmo Classic Arcade                          | Tecmo                       | Xbox   | 2005 | Japan
|       | Tekki                                         | Capcom                      | Xbox   | 2002 | Japan
|       | Tekki Taisen                                  | Capcom                      | Xbox   | 2004 | Japan
|       | Tenchu San: Kaiki no Shou                     | From Software               | Xbox   | 2004 | Japan
|       | Tenerezza                                     | Aqua Plus                   | Xbox   | 2003 | Japan
|       | Tenku 2                                       | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Tenku: Freestyle Snowboarding                 | Microsoft Game Studios      | Xbox   | 2002 | Japan
|       | Tetris Worlds                                 | Success                     | Xbox   | 2002 | Japan
|       | Thousand Land                                 | From Software               | Xbox   | 2003 | Japan
|       | Tom Clancy's Ghost Recon                      | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | Tom Clancy's Ghost Recon: Island Thunder      | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Tom Clancy's Rainbow Six 3                    | Ubisoft                     | Xbox   | 2004 | Japan
|       | Tom Clancy's Rainbow Six 3: Black Arrow       | Ubisoft                     | Xbox   | 2005 | Japan
|       | Tom Clancy's Rainbow Six: Lockdown            | Ubisoft                     | Xbox   | 2005 | Japan
|       | Tom Clancy's Splinter Cell                    | Ubisoft                     | Xbox   | 2003 | Japan
|       | Tom Clancy's Splinter Cell Pandora Tomorrow   | Ubisoft                     | Xbox   | 2005 | Japan
|       | Tom Clancy's Splinter Cell: Chaos Theory      | Ubisoft                     | Xbox   | 2005 | Japan
|       | Tony Hawk's Underground                       | Activision                  | Xbox   | 2004 | Japan
|       | Top Spin                                      | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Touge R                                       | ATLUS                       | Xbox   | 2002 | Japan
|       | Triangle Again                                | Production I.G.             | Xbox   | 2002 | Japan
|       | Triangle Again 2                              | Kiki                        | Xbox   | 2002 | Japan
|       | True Crime: Streets of LA                     | Capcom                      | Xbox   | 2004 | Japan
|       | Ultimate Fighting Championship: Tapout 2      | Capcom                      | Xbox   | 2002 | Japan
|       | Ultra Puzzle Bobble                           | Taito Corporation           | Xbox   | 2005 | Japan
|       | Umesawa Yukari no Igo Seminar                 | Success                     | Xbox   | 2002 | Japan
|       | Unreal Championship                           | Atari SA                    | Xbox   | 2004 | Japan
|       | Voodoo Vince                                  | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Wakeboarding Unleashed Featuring Shaun Murray | Activision                  | Xbox   | 2003 | Japan
|       | Whacked!                                      | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | Wild Rings, The                               | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | World Billiards Tournament: Break Nine        | ASK                         | Xbox   | 2002 | Japan
|       | WTA Tour Tennis                               | Konami                      | Xbox   | 2002 | Japan
|       | WWE Raw                                       | Kadokawa                    | Xbox   | 2002 | Japan
|       | X-Men Legends                                 | Microsoft Game Studios      | Xbox   | 2005 | Japan
|       | X2: Wolverine's Revenge                       | Activision                  | Xbox   | 2004 | Japan
|       | Xbox Video Chat                               | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | XIII: Daitouryou o Koroshita Otoko            | Marvelous Entertainment     | Xbox   | 2004 | Japan
|       | Yonenaga Kunio no Shogi Seminar               | Success                     | Xbox   | 2002 | Japan
|       | Zan Kabuki                                    | Genki                       | Xbox   | 2002 | Japan
