|       | 18 Wheeler: American Pro Trucker                          | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | Mag Force Racing                                          | Crave                    | Sega Dreamcast | 2000 | NTSC (NA)
|       | Maken X                                                   | ATLUS                    | Sega Dreamcast | 1999 | NTSC (NA)
|       | Maqiupai                                                  | GOAT Store Publishing    | Sega Dreamcast | 2005 | NTSC (NA)
|       | Mars Matrix                                               | Capcom                   | Sega Dreamcast | 2001 | NTSC (NA)
|       | Marvel vs. Capcom 2                                       | Capcom                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Marvel vs. Capcom: Clash of Super Heroes                  | Capcom                   | Sega Dreamcast | 1999 | NTSC (NA)
|       | Mat Hoffman's Pro BMX                                     | Activision               | Sega Dreamcast | 2001 | NTSC (NA)
|       | Max Steel                                                 | Mattel                   | Sega Dreamcast | 2001 | NTSC (NA)
|       | Maximum Pool                                              | Sierra Entertainment     | Sega Dreamcast | 2000 | NTSC (NA)
|       | MDK2                                                      | Interplay                | Sega Dreamcast | 2000 | NTSC (NA)
|       | Metropolis Street Racer                                   | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | Midway's Greatest Arcade Hits Volume 1                    | Midway                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Midway's Greatest Arcade Hits Volume 2                    | Midway                   | Sega Dreamcast | 2001 | NTSC (NA)
|       | Monaco Grand Prix                                         | Ubisoft                  | Sega Dreamcast | 1999 | NTSC (NA)
|       | Mortal Kombat Gold                                        | Midway                   | Sega Dreamcast | 1999 | NTSC (NA)
|       | Mr. Driller                                               | Namco                    | Sega Dreamcast | 2000 | NTSC (NA)
|       | Ms. Pac-Man Maze Madness                                  | Namco                    | Sega Dreamcast | 2000 | NTSC (NA)
|       | MTV Sports: Skateboarding Featuring Andy Macdonald        | THQ                      | Sega Dreamcast | 2000 | NTSC (NA)
|       | Namco Museum                                              | Namco                    | Sega Dreamcast | 2000 | NTSC (NA)
|       | NBA 2K                                                    | Sega                     | Sega Dreamcast | 1999 | NTSC (NA)
|       | NBA 2K1                                                   | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | NBA 2K2                                                   | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | NBA Hoopz                                                 | Midway                   | Sega Dreamcast | 2001 | NTSC (NA)
|       | NBA Showtime: NBA on NBC                                  | Midway                   | Sega Dreamcast | 1999 | NTSC (NA)
|       | NCAA College Football 2K2                                 | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | Next Tetris: On-line Edition, The                         | Crave                    | Sega Dreamcast | 2000 | NTSC (NA)
|       | NFL 2K                                                    | Sega                     | Sega Dreamcast | 1999 | NTSC (NA)
|       | NFL 2K1                                                   | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | NFL 2K2                                                   | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | NFL Blitz 2000                                            | Midway                   | Sega Dreamcast | 1999 | NTSC (NA)
|       | NFL Blitz 2001                                            | Midway                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | NFL QB Club 2001                                          | Acclaim                  | Sega Dreamcast | 2000 | NTSC (NA)
|       | NFL Quarterback Club 2000                                 | Acclaim                  | Sega Dreamcast | 1999 | NTSC (NA)
|       | NHL 2K                                                    | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | NHL 2K2                                                   | Sega                     | Sega Dreamcast | 2002 | NTSC (NA)
|       | Nightmare Creatures II                                    | Konami                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Official Dreamcast Magazine #1                            | Sega                     | Sega Dreamcast | 1999 | NTSC (NA)
|       | Official Dreamcast Magazine #10                           | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | Official Dreamcast Magazine #2                            | Sega                     | Sega Dreamcast | 1999 | NTSC (NA)
|       | Official Dreamcast Magazine #3                            | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Official Dreamcast Magazine #4                            | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Official Dreamcast Magazine #5                            | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Official Dreamcast Magazine #6                            | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Official Dreamcast Magazine #7                            | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Official Dreamcast Magazine #8                            | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Official Dreamcast Magazine #9                            | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Official Dreamcast Magazine Vol. 11                       | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Omikron: The Nomad Soul                                   | Eidos Interactive        | Sega Dreamcast | 2000 | NTSC (NA)
|       | Ooga Booga                                                | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | OutTrigger: International Counter Terrorism Special Force | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | Pen Pen TriIcelon                                         | Infogrames               | Sega Dreamcast | 1999 | NTSC (NA)
|       | Phantasy Star Online                                      | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | Phantasy Star Online Ver. 2                               | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | PlanetWeb Web Browser 1.0                                 | Sega                     | Sega Dreamcast | 1999 | NTSC (NA)
|       | PlanetWeb Web Browser 2.0                                 | Sega                     | Sega Dreamcast | 2013 | NTSC (NA)
|       | PlanetWeb Web Browser 3.0                                 | Sega                     | Sega Dreamcast | 2013 | NTSC (NA)
|       | Plasma Sword: Nightmare of Bilstein                       | Capcom                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | POD: Speedzone                                            | Ubisoft                  | Sega Dreamcast | 2000 | NTSC (NA)
|       | Power Stone                                               | Capcom                   | Sega Dreamcast | 1999 | NTSC (NA)
|       | Power Stone 2                                             | Capcom                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Prince of Persia: Arabian Nights                          | Mattel                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Project Justice                                           | Capcom                   | Sega Dreamcast | 2001 | NTSC (NA)
|       | Psychic Force 2012                                        | Acclaim                  | Sega Dreamcast | 1999 | NTSC (NA)
|       | Q*Bert                                                    | Hasbro Interactive       | Sega Dreamcast | 2000 | NTSC (NA)
|       | Quake III Arena                                           | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Railroad Tycoon II: Gold Edition                          | Gathering                | Sega Dreamcast | 2000 | NTSC (NA)
|       | Rayman 2: The Great Escape                                | Ubisoft                  | Sega Dreamcast | 2000 | NTSC (NA)
|       | Razor Freestyle Scooter                                   | Crave                    | Sega Dreamcast | 2001 | NTSC (NA)
|       | Re-Volt                                                   | Acclaim                  | Sega Dreamcast | 1999 | NTSC (NA)
|       | Ready 2 Rumble Boxing                                     | Midway                   | Sega Dreamcast | 1999 | NTSC (NA)
|       | Ready 2 Rumble Boxing: Round 2                            | Midway                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Record of Lodoss War                                      | Conspiracy Entertainment | Sega Dreamcast | 2001 | NTSC (NA)
|       | Red Dog: Superior Firepower                               | Crave                    | Sega Dreamcast | 2000 | NTSC (NA)
|       | Reel Fishing: Wild                                        | Natsume                  | Sega Dreamcast | 2013 | NTSC (NA)
|       | Resident Evil 2                                           | Capcom                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Resident Evil 3: Nemesis                                  | Capcom                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Resident Evil Code: Veronica                              | Capcom                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Rippin' Riders                                            | Sega                     | Sega Dreamcast | 1999 | NTSC (NA)
|       | Roadsters                                                 | Titus Software           | Sega Dreamcast | 2000 | NTSC (NA)
|       | Samba de Amigo                                            | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | San Francisco Rush 2049                                   | Midway                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Seaman                                                    | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Sega Bass Fishing                                         | Sega                     | Sega Dreamcast | 1999 | NTSC (NA)
|       | Sega Bass Fishing 2                                       | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | Sega GT                                                   | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Sega Marine Fishing                                       | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Sega Rally Championship 2                                 | Sega                     | Sega Dreamcast | 1999 | NTSC (NA)
|       | Sega Smash Pack Volume 1                                  | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | Seventh Cross Evolution                                   | UFO Interactive          | Sega Dreamcast | 2000 | NTSC (NA)
|       | Shadow Man                                                | Acclaim                  | Sega Dreamcast | 1999 | NTSC (NA)
|       | Shenmue                                                   | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Silent Scope                                              | Konami                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Silver                                                    | Infogrames               | Sega Dreamcast | 2000 | NTSC (NA)
|       | Skies of Arcadia                                          | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Slave Zero                                                | Infogrames               | Sega Dreamcast | 1999 | NTSC (NA)
|       | Sno-Cross Championship Racing                             | Crave                    | Sega Dreamcast | 2000 | NTSC (NA)
|       | Soldier of Fortune                                        | Crave                    | Sega Dreamcast | 2001 | NTSC (NA)
|       | Sonic Adventure                                           | Sega                     | Sega Dreamcast | 1999 | NTSC (NA)
|       | Sonic Adventure 2                                         | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | Sonic Shuffle                                             | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Soul Fighter                                              | Mindscape Inc.           | Sega Dreamcast | 1999 | NTSC (NA)
|       | SoulCalibur                                               | Namco                    | Sega Dreamcast | 1999 | NTSC (NA)
|       | South Park Rally                                          | Acclaim                  | Sega Dreamcast | 2000 | NTSC (NA)
|       | South Park: Chef's Luv Shack                              | Acclaim                  | Sega Dreamcast | 1999 | NTSC (NA)
|       | Space Channel 5                                           | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Spawn: In the Demon's Hand                                | Capcom                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Spec Ops II: Omega Squad                                  | Ripcord Games            | Sega Dreamcast | 2000 | NTSC (NA)
|       | Speed Devils                                              | Ubisoft                  | Sega Dreamcast | 1999 | NTSC (NA)
|       | Speed Devils Online Racing                                | Ubisoft                  | Sega Dreamcast | 2000 | NTSC (NA)
|       | Spider-Man                                                | Activision               | Sega Dreamcast | 2001 | NTSC (NA)
|       | Spirit of Speed 1937                                      | LJN Ltd.                 | Sega Dreamcast | 2000 | NTSC (NA)
|       | Sports Jam                                                | Agetec Inc.              | Sega Dreamcast | 2001 | NTSC (NA)
|       | Star Wars Episode I: Jedi Power Battles                   | LucasArts                | Sega Dreamcast | 2000 | NTSC (NA)
|       | Star Wars Episode I: Racer                                | LucasArts                | Sega Dreamcast | 2000 | NTSC (NA)
|       | Star Wars: Demolition                                     | LucasArts                | Sega Dreamcast | 2000 | NTSC (NA)
|       | StarLancer                                                | Crave                    | Sega Dreamcast | 2000 | NTSC (NA)
|       | Street Fighter Alpha 3                                    | Capcom                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Street Fighter III: 3rd Strike                            | Capcom                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Street Fighter III: Double Impact                         | Capcom                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Striker Pro 2000                                          | Infogrames               | Sega Dreamcast | 2000 | NTSC (NA)
|       | Stupid Invaders                                           | Ubisoft                  | Sega Dreamcast | 2001 | NTSC (NA)
|       | Sturmwind                                                 | redspotgames             | Sega Dreamcast | 2013 | NTSC (NA)
|       | Super Magnetic Neo                                        | Crave                    | Sega Dreamcast | 2000 | NTSC (NA)
|       | Super Runabout: San Francisco Edition                     | Interplay                | Sega Dreamcast | 2000 | NTSC (NA)
|       | Surf Rocket Racers                                        | Crave                    | Sega Dreamcast | 2001 | NTSC (NA)
|       | Suzuki Alstare Extreme Racing                             | Ubisoft                  | Sega Dreamcast | 1999 | NTSC (NA)
|       | Sword of the Berserk: Guts' Rage                          | Eidos Interactive        | Sega Dreamcast | 2000 | NTSC (NA)
|       | Sydney 2000                                               | Eidos Interactive        | Sega Dreamcast | 2000 | NTSC (NA)
|       | Tech Romancer                                             | Capcom                   | Sega Dreamcast | 2000 | NTSC (NA)
|       | Tee Off                                                   | Acclaim                  | Sega Dreamcast | 1999 | NTSC (NA)
|       | Tennis 2K2                                                | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | Test Drive 6                                              | Infogrames               | Sega Dreamcast | 1999 | NTSC (NA)
|       | Test Drive Le Mans                                        | Infogrames               | Sega Dreamcast | 2000 | NTSC (NA)
|       | Test Drive V-Rally                                        | Infogrames               | Sega Dreamcast | 2000 | NTSC (NA)
|       | Time Stalkers                                             | Sega                     | Sega Dreamcast | 1999 | NTSC (NA)
|       | TNN Motorsports HardCore Heat                             | ASC Games                | Sega Dreamcast | 1999 | NTSC (NA)
|       | Tokyo Xtreme Racer                                        | Crave                    | Sega Dreamcast | 1999 | NTSC (NA)
|       | Tokyo Xtreme Racer 2                                      | Crave                    | Sega Dreamcast | 2000 | NTSC (NA)
|       | Tom Clancy's Rainbow Six                                  | Majesco Games            | Sega Dreamcast | 2000 | NTSC (NA)
|       | Tom Clancy's Rainbow Six: Rogue Spear                     | Red Storm Entertainment  | Sega Dreamcast | 2000 | NTSC (NA)
|       | Tomb Raider: Chronicles                                   | Eidos Interactive        | Sega Dreamcast | 2000 | NTSC (NA)
|       | Tomb Raider: The Last Revelation                          | Eidos Interactive        | Sega Dreamcast | 2001 | NTSC (NA)
|       | Tony Hawk's Pro Skater                                    | Crave                    | Sega Dreamcast | 2000 | NTSC (NA)
|       | Tony Hawk's Pro Skater 2                                  | Activision               | Sega Dreamcast | 2000 | NTSC (NA)
|       | Toy Commander                                             | Sega                     | Sega Dreamcast | 1999 | NTSC (NA)
|       | Toy Story 2: Buzz Lightyear to the Rescue!                | Activision               | Sega Dreamcast | 2000 | NTSC (NA)
|       | TrickStyle                                                | Acclaim                  | Sega Dreamcast | 1999 | NTSC (NA)
|       | Typing of the Dead, The                                   | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | Ultimate Fighting Championship                            | Crave                    | Sega Dreamcast | 2000 | NTSC (NA)
|       | Unreal Tournament                                         | Infogrames               | Sega Dreamcast | 2001 | NTSC (NA)
|       | Urban Chaos                                               | Eidos Interactive        | Sega Dreamcast | 2000 | NTSC (NA)
|       | Vanishing Point                                           | Acclaim                  | Sega Dreamcast | 2000 | NTSC (NA)
|       | Vigilante 8: 2nd Offense                                  | Activision               | Sega Dreamcast | 1999 | NTSC (NA)
|       | Virtua Athlete 2000                                       | Agetec Inc.              | Sega Dreamcast | 2001 | NTSC (NA)
|       | Virtua Fighter 3tb                                        | Sega                     | Sega Dreamcast | 1999 | NTSC (NA)
|       | Virtua Striker 2                                          | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Virtua Tennis                                             | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | Wacky Races                                               | Infogrames               | Sega Dreamcast | 2000 | NTSC (NA)
|       | Walt Disney World Quest: Magical Racing Tour              | Eidos Interactive        | Sega Dreamcast | 2000 | NTSC (NA)
|       | Wetrix+                                                   | Xicat Interactive        | Sega Dreamcast | 1999 | NTSC (NA)
|       | Who Wants to Beat Up a Millionaire?                       | Berkeley                 | Sega Dreamcast | 2013 | NTSC (NA)
|       | Wild Metal                                                | Rockstar Games           | Sega Dreamcast | 2000 | NTSC (NA)
|       | World Series Baseball 2K1                                 | Sega                     | Sega Dreamcast | 2000 | NTSC (NA)
|       | World Series Baseball 2K2                                 | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | Worms Armageddon                                          | Hasbro Interactive       | Sega Dreamcast | 1999 | NTSC (NA)
|       | Worms World Party                                         | Titus Software           | Sega Dreamcast | 2001 | NTSC (NA)
|       | WWF Attitude                                              | Acclaim                  | Sega Dreamcast | 1999 | NTSC (NA)
|       | WWF Royal Rumble                                          | THQ                      | Sega Dreamcast | 2000 | NTSC (NA)
|       | Xtreme Sports                                             | Infogrames               | Sega Dreamcast | 2000 | NTSC (NA)
|       | Zombie Revenge                                            | Sega                     | Sega Dreamcast | 1999 | NTSC (NA)
|       | 18 Wheeler: American Pro Trucker                          | Sega                      | Sega Dreamcast | 2001 | PAL
|       | 4-Wheel Thunder                                           | Midway                    | Sega Dreamcast | 2000 | PAL
|       | 90 Minutes: Sega Championship Football                    | Sega                      | Sega Dreamcast | 2001 | PAL
|       | AeroWings                                                 | Crave                     | Sega Dreamcast | 1999 | PAL
|       | AeroWings 2: Air Strike                                   | Ubisoft                   | Sega Dreamcast | 2000 | PAL
|       | Alice's Mom's Rescue                                      | HUCAST                    | Sega Dreamcast | 2015 | PAL
|       | Alone in the Dark: The New Nightmare                      | Infogrames                | Sega Dreamcast | 2001 | PAL
|       | Aqua GT                                                   | Take-Two Interactive      | Sega Dreamcast | 2000 | PAL
|       | Army Men: Sarge's Heroes                                  | Midway                    | Sega Dreamcast | 2000 | PAL
|       | Bangai-O                                                  | Swing! Deutschland        | Sega Dreamcast | 2000 | PAL
|       | Blue Stinger                                              | Activision                | Sega Dreamcast | 1999 | PAL
|       | Breakers                                                  | JoshProd                  | Sega Dreamcast | 2017 | PAL
|       | Buggy Heat                                                | Sega                      | Sega Dreamcast | 1999 | PAL
|       | Bust-A-Move 4                                             | Acclaim                   | Sega Dreamcast | 2000 | PAL
|       | Caesars Palace 2000: Millennium Gold Edition              | Interplay                 | Sega Dreamcast | 2000 | PAL
|       | Cannon Spike                                              | Capcom                    | Sega Dreamcast | 2002 | PAL
|       | Capcom vs. SNK                                            | Virgin Interactive        | Sega Dreamcast | 2000 | PAL
|       | Carrier                                                   | Xicat Interactive         | Sega Dreamcast | 2001 | PAL
|       | Championship Surfer                                       | Mattel                    | Sega Dreamcast | 2001 | PAL
