|       | 007 Legends                                                              | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | Assassin's Creed: Brotherhood                                            | Ubisoft                                | Xbox 360 | 2010 | NTSC (NA)
|       | Assassin's Creed: Ezio Trilogy                                           | Ubisoft                                | Xbox 360 | 2013 | NTSC (NA)
|       | Assassin's Creed: Revelations                                            | Ubisoft                                | Xbox 360 | 2011 | NTSC (NA)
|       | Assassin's Creed: The Americas Collection                                | Ubisoft                                | Xbox 360 | 2014 | NTSC (NA)
|       | Asura's Wrath                                                            | Capcom                                 | Xbox 360 | 2012 | NTSC (NA)
|       | Attack of the Movies 3D                                                  | Majesco Games                          | Xbox 360 | 2010 | NTSC (NA)
|       | Autobahn Polizei                                                         | Conspiracy Entertainment               | Xbox 360 | 2010 | NTSC (NA)
|       | Avatar: The Last Airbender - The Burning Earth                           | THQ                                    | Xbox 360 | 2007 | NTSC (NA)
|       | Back to the Future: The Game                                             | Telltale Games                         | Xbox 360 | 2015 | NTSC (NA)
|       | Backbreaker                                                              | 505 Games                              | Xbox 360 | 2010 | NTSC (NA)
|       | Backyard Football '10                                                    | Atari SA                               | Xbox 360 | 2009 | NTSC (NA)
|       | Backyard Football 2010                                                   | Atari                                  | Xbox 360 | 2009 | NTSC (NA)
|       | Backyard Sports: Rookie Rush                                             | Atari                                  | Xbox 360 | 2010 | NTSC (NA)
|       | Backyard Sports: Sandlot Sluggers                                        | Atari                                  | Xbox 360 | 2010 | NTSC (NA)
|       | Baja: Edge of Control                                                    | THQ                                    | Xbox 360 | 2008 | NTSC (NA)
|       | Bakugan Battle Brawlers                                                  | Activision                             | Xbox 360 | 2009 | NTSC (NA)
|       | Bakugan: Defenders of the Core                                           | Activision                             | Xbox 360 | 2010 | NTSC (NA)
|       | Band Hero                                                                | Activision                             | Xbox 360 | 2009 | NTSC (NA)
|       | Bandfuse: Rock Legends                                                   | Mastiff                                | Xbox 360 | 2013 | NTSC (NA)
|       | Banjo-Kazooie: Nuts & Bolts                                              | Microsoft Game Studios                 | Xbox 360 | 2008 | NTSC (NA)
|       | Banjo-Kazooie: Nuts & Bolts / Viva Pinata                                | Microsoft Game Studios                 | Xbox 360 | 2013 | NTSC (NA)
|       | Barbie and Her Sisters: Puppy Rescue                                     | Little Orbit                           | Xbox 360 | 2015 | NTSC (NA)
|       | Bass Pro Shops: The Hunt                                                 | Griffin International                  | Xbox 360 | 2010 | NTSC (NA)
|       | Bass Pro Shops: The Strike                                               | XS Games                               | Xbox 360 | 2009 | NTSC (NA)
|       | Batman: Arkham Asylum                                                    | Eidos Interactive                      | Xbox 360 | 2009 | NTSC (NA)
|       | Batman: Arkham Asylum                                                    | Eidos Interactive                      | Xbox 360 | 2009 | NTSC (NA)
|       | Batman: Arkham Asylum + Arkham City Dual Pack                            | Warner Bros. Interactive Entertainment | Xbox 360 | 2013 | NTSC (NA)
|       | Batman: Arkham City                                                      | Warner Bros. Interactive Entertainment | Xbox 360 | 2011 | NTSC (NA)
|       | Batman: Arkham City - Game of the Year Edition                           | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | NTSC (NA)
|       | Batman: Arkham Origins                                                   | Warner Bros. Interactive Entertainment | Xbox 360 | 2013 | NTSC (NA)
|       | Batman: Arkham Twin Pack                                                 | Warner Bros. Interactive Entertainment | Xbox 360 | 2013 | NTSC (NA)
|       | Batman: The Telltale Series                                              | Warner Bros. Interactive Entertainment | Xbox 360 | 2016 | NTSC (NA)
|       | Battle Fantasia                                                          | Aksys Games                            | Xbox 360 | 2008 | NTSC (NA)
|       | Battlefield 2: Modern Combat                                             | EA Games                               | Xbox 360 | 2006 | NTSC (NA)
|       | Battlefield 3                                                            | Electronic Arts                        | Xbox 360 | 2011 | NTSC (NA)
|       | Battlefield 4                                                            | Electronic Arts                        | Xbox 360 | 2013 | NTSC (NA)
|       | Battlefield Hardline                                                     | Electronic Arts                        | Xbox 360 | 2015 | NTSC (NA)
|       | Battlefield: Bad Company                                                 | EA Games                               | Xbox 360 | 2008 | NTSC (NA)
|       | Battlefield: Bad Company 2                                               | EA Games                               | Xbox 360 | 2010 | NTSC (NA)
|       | Battlefield: Bad Company 2 Ultimate Edition                              | Electronic Arts                        | Xbox 360 | 2010 | NTSC (NA)
|       | Battleship                                                               | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | Battlestations: Midway                                                   | Eidos Interactive                      | Xbox 360 | 2007 | NTSC (NA)
|       | Battlestations: Pacific                                                  | Eidos Interactive                      | Xbox 360 | 2009 | NTSC (NA)
|       | Bayonetta                                                                | Sega                                   | Xbox 360 | 2010 | NTSC (NA)
|       | Beatles: Rock Band, The                                                  | MTV Games                              | Xbox 360 | 2009 | NTSC (NA)
|       | Beautiful Katamari                                                       | Namco Bandai Games America             | Xbox 360 | 2007 | NTSC (NA)
|       | Bee Movie Game                                                           | Activision                             | Xbox 360 | 2007 | NTSC (NA)
|       | Beijing 2008 - The Official Video Game of the Olympic Games              | Sega                                   | Xbox 360 | 2008 | NTSC (NA)
|       | Beijing 2008 - The Official Video Game of the Olympic Games              | Sega                                   | Xbox 360 | 2008 | NTSC (NA)
|       | Bejeweled 3                                                              | PopCap                                 | Xbox 360 | 2011 | NTSC (NA)
|       | Ben 10 Alien Force: Vilgax Attacks                                       | D3Publisher                            | Xbox 360 | 2009 | NTSC (NA)
|       | Ben 10 Ultimate Alien: Cosmic Destruction                                | D3Publisher                            | Xbox 360 | 2010 | NTSC (NA)
|       | Ben 10: Galactic Racing                                                  | D3Publisher                            | Xbox 360 | 2011 | NTSC (NA)
|       | Ben 10: Omniverse                                                        | D3Publisher                            | Xbox 360 | 2012 | NTSC (NA)
|       | Ben 10: Omniverse 2                                                      | D3Publisher                            | Xbox 360 | 2013 | NTSC (NA)
|       | Beowulf: The Game                                                        | Ubisoft                                | Xbox 360 | 2007 | NTSC (NA)
|       | Big Bumpin'                                                              | King Games                             | Xbox 360 | 2006 | NTSC (NA)
|       | Big League Sports                                                        | Activision                             | Xbox 360 | 2011 | NTSC (NA)
|       | Biggest Loser: Ultimate Workout, The                                     | THQ                                    | Xbox 360 | 2010 | NTSC (NA)
|       | Bigs 2, The                                                              | 2K Sports                              | Xbox 360 | 2009 | NTSC (NA)
|       | Bigs, The                                                                | 2K Sports                              | Xbox 360 | 2007 | NTSC (NA)
|       | Binary Domain                                                            | Sega                                   | Xbox 360 | 2012 | NTSC (NA)
|       | Bionic Commando                                                          | Capcom                                 | Xbox 360 | 2009 | NTSC (NA)
|       | Bionicle Heroes                                                          | Eidos Interactive                      | Xbox 360 | 2006 | NTSC (NA)
|       | BioShock                                                                 | 2K Games                               | Xbox 360 | 2007 | NTSC (NA)
|       | BioShock / The Elder Scrolls IV: Oblivion                                | 2K Games                               | Xbox 360 | 2009 | NTSC (NA)
|       | BioShock 2                                                               | 2K Games                               | Xbox 360 | 2010 | NTSC (NA)
|       | BioShock Infinite                                                        | 2K Games                               | Xbox 360 | 2013 | NTSC (NA)
|       | BioShock Infinite: Complete Edition                                      | 2K Games                               | Xbox 360 | 2014 | NTSC (NA)
|       | BioShock Ultimate Rapture Edition                                        | 2K Games                               | Xbox 360 | 2013 | NTSC (NA)
|       | Birds of Steel                                                           | Konami                                 | Xbox 360 | 2012 | NTSC (NA)
|       | Black College Football Experience: The Doug Williams Edition             | Aspyr                                  | Xbox 360 | 2009 | NTSC (NA)
|       | Black College Football Experience: The Doug Williams Edition             | Aspyr                                  | Xbox 360 | 2009 | NTSC (NA)
|       | Black Eyed Peas Experience, The                                          | Ubisoft                                | Xbox 360 | 2011 | NTSC (NA)
|       | BlackSite: Area 51                                                       | Midway                                 | Xbox 360 | 2007 | NTSC (NA)
|       | Blackwater                                                               | 505 Games                              | Xbox 360 | 2011 | NTSC (NA)
|       | Blades of Time                                                           | Konami                                 | Xbox 360 | 2012 | NTSC (NA)
|       | Bladestorm: The Hundred Years' War                                       | Koei                                   | Xbox 360 | 2007 | NTSC (NA)
|       | BlazBlue: Calamity Trigger                                               | Aksys Games                            | Xbox 360 | 2009 | NTSC (NA)
|       | BlazBlue: Continuum Shift                                                | Aksys Games                            | Xbox 360 | 2010 | NTSC (NA)
|       | BlazBlue: Continuum Shift Extend                                         | Aksys Games                            | Xbox 360 | 2012 | NTSC (NA)
|       | Blazing Angels 2: Secret Missions of WWII                                | Ubisoft                                | Xbox 360 | 2007 | NTSC (NA)
|       | Blazing Angels: Squadrons of WWII                                        | Ubisoft                                | Xbox 360 | 2006 | NTSC (NA)
|       | Blitz: The League                                                        | Midway                                 | Xbox 360 | 2006 | NTSC (NA)
|       | Blitz: The League II                                                     | Midway                                 | Xbox 360 | 2008 | NTSC (NA)
|       | Blood Bowl                                                               | Focus Home Interactive                 | Xbox 360 | 2010 | NTSC (NA)
|       | Blood Drive                                                              | Activision                             | Xbox 360 | 2010 | NTSC (NA)
|       | Blue Dragon                                                              | Microsoft Game Studios                 | Xbox 360 | 2007 | NTSC (NA)
|       | Blur                                                                     | Activision Blizzard                    | Xbox 360 | 2010 | NTSC (NA)
|       | Body and Brain Connection                                                | Namco Bandai Games                     | Xbox 360 | 2011 | NTSC (NA)
|       | Bodycount                                                                | Codemasters                            | Xbox 360 | 2011 | NTSC (NA)
|       | Bolt                                                                     | Disney Interactive Studios             | Xbox 360 | 2008 | NTSC (NA)
|       | Bomberman: Act Zero                                                      | Konami                                 | Xbox 360 | 2006 | NTSC (NA)
|       | Borderlands                                                              | 2K Games                               | Xbox 360 | 2009 | NTSC (NA)
|       | Borderlands 2                                                            | 2K Games                               | Xbox 360 | 2012 | NTSC (NA)
|       | Borderlands 2 / Dishonored                                               | 2K Games                               | Xbox 360 | 2014 | NTSC (NA)
|       | Borderlands 2: Add-On Content Pack                                       | 2K Games                               | Xbox 360 | 2013 | NTSC (NA)
|       | Borderlands 2: Game of the Year Edition                                  | 2K Games                               | Xbox 360 | 2013 | NTSC (NA)
|       | Borderlands Triple Pack                                                  | 2K Games                               | Xbox 360 | 2015 | NTSC (NA)
|       | Borderlands: Double Game Add-On Pack                                     | Take-Two Interactive                   | Xbox 360 | 2010 | NTSC (NA)
|       | Borderlands: Game of the Year Edition                                    | Take-Two Interactive                   | Xbox 360 | 2010 | NTSC (NA)
|       | Borderlands: The Pre-Sequel!                                             | 2K Games                               | Xbox 360 | 2014 | NTSC (NA)
|       | Bound by Flame                                                           | Focus Home Interactive                 | Xbox 360 | 2014 | NTSC (NA)
|       | Brave: A Warrior's Tale                                                  | Evolved Games                          | Xbox 360 | 2009 | NTSC (NA)
|       | Brave: The Video Game                                                    | Disney Interactive Studios             | Xbox 360 | 2012 | NTSC (NA)
|       | Brink                                                                    | Bethesda Softworks                     | Xbox 360 | 2011 | NTSC (NA)
|       | Brothers In Arms: Hell's Highway                                         | Ubisoft                                | Xbox 360 | 2008 | NTSC (NA)
|       | Brunswick Pro Bowling                                                    | Crave                                  | Xbox 360 | 2011 | NTSC (NA)
|       | Brutal Legend                                                            | EA Games                               | Xbox 360 | 2009 | NTSC (NA)
|       | Bullet Witch                                                             | Atari                                  | Xbox 360 | 2007 | NTSC (NA)
|       | Bulletstorm                                                              | Electronic Arts                        | Xbox 360 | 2011 | NTSC (NA)
|       | Bully: Scholarship Edition                                               | Rockstar Games                         | Xbox 360 | 2008 | NTSC (NA)
|       | Bureau: XCOM Declassified, The                                           | 2K Games                               | Xbox 360 | 2013 | NTSC (NA)
|       | Burnout Paradise                                                         | Electronic Arts                        | Xbox 360 | 2008 | NTSC (NA)
|       | Burnout Revenge                                                          | Electronic Arts                        | Xbox 360 | 2006 | NTSC (NA)
|       | Cabela's Adventure Camp                                                  | Activision                             | Xbox 360 | 2011 | NTSC (NA)
|       | Cabela's African Adventures                                              | Activision                             | Xbox 360 | 2013 | NTSC (NA)
|       | Cabela's African Safari                                                  | Activision Value                       | Xbox 360 | 2006 | NTSC (NA)
|       | Cabela's Alaskan Adventures                                              | Activision                             | Xbox 360 | 2006 | NTSC (NA)
|       | Cabela's Big Game Hunter                                                 | Activision                             | Xbox 360 | 2007 | NTSC (NA)
|       | Cabela's Big Game Hunter 2010                                            | Activision                             | Xbox 360 | 2009 | NTSC (NA)
|       | Cabela's Big Game Hunter 2012                                            | Activision                             | Xbox 360 | 2011 | NTSC (NA)
|       | Cabela's Big Game Hunter: Hunting Party                                  | Activision                             | Xbox 360 | 2011 | NTSC (NA)
|       | Cabela's Big Game Hunter: Pro Hunts                                      | Activision                             | Xbox 360 | 2014 | NTSC (NA)
|       | Cabela's Dangerous Hunts 2009                                            | Activision                             | Xbox 360 | 2008 | NTSC (NA)
|       | Cabela's Dangerous Hunts 2011                                            | Activision                             | Xbox 360 | 2010 | NTSC (NA)
|       | Cabela's Dangerous Hunts 2013                                            | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | Cabela's Hunting Expeditions                                             | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | Cabela's North American Adventures                                       | Activision                             | Xbox 360 | 2010 | NTSC (NA)
|       | Cabela's Outdoor Adventures                                              | Activision                             | Xbox 360 | 2009 | NTSC (NA)
|       | Cabela's Survival: Shadows of Katmai                                     | Activision                             | Xbox 360 | 2011 | NTSC (NA)
|       | Cabela's Trophy Bucks                                                    | Activision                             | Xbox 360 | 2007 | NTSC (NA)
|       | Call of Duty 2                                                           | Activision                             | Xbox 360 | 2005 | NTSC (NA)
|       | Call of Duty 3                                                           | Activision                             | Xbox 360 | 2006 | NTSC (NA)
|       | Call of Duty 4: Modern Warfare                                           | Activision                             | Xbox 360 | 2007 | NTSC (NA)
|       | Call of Duty: Advanced Warfare                                           | Activision                             | Xbox 360 | 2014 | NTSC (NA)
|       | Call of Duty: Black Ops                                                  | Activision                             | Xbox 360 | 2010 | NTSC (NA)
|       | Call of Duty: Black Ops Collection                                       | Activision                             | Xbox 360 | 2016 | NTSC (NA)
|       | Call of Duty: Black Ops Combo Pack                                       | Activision                             | Xbox 360 | 2015 | NTSC (NA)
|       | Call of Duty: Black Ops II                                               | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | Call of Duty: Black Ops III                                              | Activision                             | Xbox 360 | 2015 | NTSC (NA)
|       | Call of Duty: Ghosts                                                     | Activision                             | Xbox 360 | 2013 | NTSC (NA)
|       | Call of Duty: Modern Warfare 2                                           | Activision                             | Xbox 360 | 2009 | NTSC (NA)
|       | Call of Duty: Modern Warfare 3                                           | Activision                             | Xbox 360 | 2011 | NTSC (NA)
|       | Call of Duty: Modern Warfare Collection                                  | Activision                             | Xbox 360 | 2010 | NTSC (NA)
|       | Call of Duty: Modern Warfare Trilogy                                     | Activision                             | Xbox 360 | 2016 | NTSC (NA)
|       | Call of Duty: The War Collection                                         | Activision                             | Xbox 360 | 2010 | NTSC (NA)
|       | Call of Duty: World at War                                               | Activision Blizzard                    | Xbox 360 | 2008 | NTSC (NA)
|       | Call of Juarez                                                           | Ubisoft                                | Xbox 360 | 2007 | NTSC (NA)
|       | Call of Juarez: Bound in Blood                                           | Ubisoft                                | Xbox 360 | 2009 | NTSC (NA)
|       | Call of Juarez: The Cartel                                               | Ubisoft                                | Xbox 360 | 2011 | NTSC (NA)
|       | Capcom Digital Collection                                                | Capcom                                 | Xbox 360 | 2012 | NTSC (NA)
|       | Capcom Essentials                                                        | Capcom                                 | Xbox 360 | 2013 | NTSC (NA)
|       | Captain America: Super Soldier                                           | Sega                                   | Xbox 360 | 2011 | NTSC (NA)
|       | Carnival Games: Monkey See, Monkey Do!                                   | Take-Two Interactive                   | Xbox 360 | 2011 | NTSC (NA)
|       | Carrier Command: Gaea Mission                                            | Rising Star Games                      | Xbox 360 | 2012 | NTSC (NA)
|       | Cars                                                                     | THQ                                    | Xbox 360 | 2006 | NTSC (NA)
|       | Cars 2: The Video Game                                                   | Disney Interactive Studios             | Xbox 360 | 2011 | NTSC (NA)
|       | Cars 3: Driven to Win                                                    | Warner Bros. Interactive Entertainment | Xbox 360 | 2017 | NTSC (NA)
|       | Cars Mater-National Championship                                         | THQ                                    | Xbox 360 | 2007 | NTSC (NA)
|       | Cars Race-O-Rama                                                         | THQ                                    | Xbox 360 | 2009 | NTSC (NA)
|       | Cartoon Network: Punch Time Explosion XL                                 | Crave                                  | Xbox 360 | 2011 | NTSC (NA)
|       | Castlevania: Lords of Shadow                                             | Konami                                 | Xbox 360 | 2010 | NTSC (NA)
|       | Castlevania: Lords of Shadow 2                                           | Konami                                 | Xbox 360 | 2014 | NTSC (NA)
|       | Castlevania: Lords of Shadow Collection                                  | Konami                                 | Xbox 360 | 2013 | NTSC (NA)
|       | Catherine                                                                | ATLUS                                  | Xbox 360 | 2011 | NTSC (NA)
|       | Chaotic: Shadow Warriors                                                 | Activision                             | Xbox 360 | 2009 | NTSC (NA)
|       | Check vs. Mate                                                           | SouthPeak Games                        | Xbox 360 | 2017 | NTSC (NA)
|       | Child of Eden                                                            | Ubisoft                                | Xbox 360 | 2011 | NTSC (NA)
|       | Chromehounds                                                             | Sega                                   | Xbox 360 | 2006 | NTSC (NA)
|       | Chronicles of Narnia: Prince Caspian, The                                | Disney Interactive Studios             | Xbox 360 | 2008 | NTSC (NA)
|       | Chronicles of Riddick: Assault on Dark Athena, The                       | Atari                                  | Xbox 360 | 2009 | NTSC (NA)
|       | Clash of the Titans                                                      | Namco Bandai Games                     | Xbox 360 | 2010 | NTSC (NA)
|       | Clive Barker's Jericho                                                   | Codemasters                            | Xbox 360 | 2007 | NTSC (NA)
|       | Cloudy With a Chance of Meatballs                                        | Ubisoft                                | Xbox 360 | 2009 | NTSC (NA)
|       | Club, The                                                                | Sega                                   | Xbox 360 | 2008 | NTSC (NA)
|       | College Hoops 2K6                                                        | 2K Sports                              | Xbox 360 | 2006 | NTSC (NA)
|       | College Hoops 2K7                                                        | 2K Sports                              | Xbox 360 | 2006 | NTSC (NA)
|       | College Hoops 2K8                                                        | 2K Sports                              | Xbox 360 | 2007 | NTSC (NA)
|       | Combat Wings: The Great Battles of WWII                                  | City Interactive                       | Xbox 360 | 2012 | NTSC (NA)
|       | Command & Conquer 3: Kane's Wrath                                        | EA Games                               | Xbox 360 | 2008 | NTSC (NA)
|       | Command & Conquer 3: Tiberium Wars                                       | EA Games                               | Xbox 360 | 2007 | NTSC (NA)
|       | Command & Conquer: Red Alert 3                                           | Electronic Arts                        | Xbox 360 | 2008 | NTSC (NA)
|       | Conan                                                                    | THQ                                    | Xbox 360 | 2007 | NTSC (NA)
|       | Condemned 2: Bloodshot                                                   | Sega                                   | Xbox 360 | 2008 | NTSC (NA)
|       | Condemned: Criminal Origins                                              | Sega                                   | Xbox 360 | 2005 | NTSC (NA)
|       | Conflict: Denied Ops                                                     | Eidos Interactive                      | Xbox 360 | 2008 | NTSC (NA)
|       | Country Dance All Stars                                                  | GameMill Publishing                    | Xbox 360 | 2012 | NTSC (NA)
|       | Crackdown                                                                | Microsoft Game Studios                 | Xbox 360 | 2007 | NTSC (NA)
|       | Crackdown 2                                                              | Microsoft Game Studios                 | Xbox 360 | 2010 | NTSC (NA)
|       | Crash of the Titans                                                      | Sierra Entertainment                   | Xbox 360 | 2007 | NTSC (NA)
|       | Crash Time: Autobahn Pursuit                                             | Crave                                  | Xbox 360 | 2008 | NTSC (NA)
|       | Crash: Mind Over Mutant                                                  | Activision Blizzard                    | Xbox 360 | 2008 | NTSC (NA)
|       | Create                                                                   | EA Games                               | Xbox 360 | 2010 | NTSC (NA)
|       | Crew, The                                                                | Ubisoft                                | Xbox 360 | 2014 | NTSC (NA)
|       | Crysis 2                                                                 | EA Games                               | Xbox 360 | 2011 | NTSC (NA)
|       | Crysis 3                                                                 | EA Games                               | Xbox 360 | 2013 | NTSC (NA)
|       | CSI: Crime Scene Investigation: Deadly Intent                            | Ubisoft                                | Xbox 360 | 2009 | NTSC (NA)
|       | CSI: Crime Scene Investigation: Fatal Conspiracy                         | Ubisoft                                | Xbox 360 | 2010 | NTSC (NA)
|       | CSI: Crime Scene Investigation: Hard Evidence                            | Ubisoft                                | Xbox 360 | 2007 | NTSC (NA)
|       | Culdcept Saga                                                            | Namco Bandai Games America             | Xbox 360 | 2008 | NTSC (NA)
|       | Cursed Crusade, The                                                      | ATLUS                                  | Xbox 360 | 2011 | NTSC (NA)
|       | Damage Inc.: Pacific Squadron WWII                                       | Mad Catz                               | Xbox 360 | 2012 | NTSC (NA)
|       | Damnation                                                                | Codemasters                            | Xbox 360 | 2009 | NTSC (NA)
|       | Dance Central                                                            | MTV Games                              | Xbox 360 | 2010 | NTSC (NA)
|       | Dance Central 2                                                          | Microsoft Game Studios                 | Xbox 360 | 2011 | NTSC (NA)
|       | Dance Central 3                                                          | Microsoft Game Studios                 | Xbox 360 | 2012 | NTSC (NA)
|       | Dance Dance Revolution Universe                                          | Konami                                 | Xbox 360 | 2007 | NTSC (NA)
|       | Dance Dance Revolution Universe 2                                        | Konami                                 | Xbox 360 | 2007 | NTSC (NA)
|       | Dance Dance Revolution Universe 3                                        | Konami                                 | Xbox 360 | 2008 | NTSC (NA)
|       | Dance Paradise                                                           | THQ                                    | Xbox 360 | 2011 | NTSC (NA)
|       | DanceDanceRevolution                                                     | Konami                                 | Xbox 360 | 2011 | NTSC (NA)
|       | DanceMasters                                                             | Konami                                 | Xbox 360 | 2010 | NTSC (NA)
|       | Dante's Inferno                                                          | Electronic Arts                        | Xbox 360 | 2010 | NTSC (NA)
|       | DARK                                                                     | Kalypso                                | Xbox 360 | 2013 | NTSC (NA)
|       | Dark Messiah of Might and Magic: Elements                                | Ubisoft                                | Xbox 360 | 2008 | NTSC (NA)
|       | Dark Sector                                                              | D3Publisher                            | Xbox 360 | 2008 | NTSC (NA)
|       | Dark Souls                                                               | Namco Bandai Games America             | Xbox 360 | 2011 | NTSC (NA)
|       | Dark Souls II                                                            | Namco Bandai Games                     | Xbox 360 | 2014 | NTSC (NA)
|       | Dark Souls II: Scholar of the First Sin                                  | Bandai Namco Games                     | Xbox 360 | 2015 | NTSC (NA)
|       | Dark Void                                                                | Capcom                                 | Xbox 360 | 2010 | NTSC (NA)
|       | Darkest of Days                                                          | Phantom EFX, Inc.                      | Xbox 360 | 2009 | NTSC (NA)
|       | Darkness II, The                                                         | 2K Games                               | Xbox 360 | 2012 | NTSC (NA)
|       | Darkness, The                                                            | 2K Games                               | Xbox 360 | 2007 | NTSC (NA)
|       | Darksiders                                                               | THQ                                    | Xbox 360 | 2010 | NTSC (NA)
|       | Darksiders Collection                                                    | Nordic Games Publishing                | Xbox 360 | 2014 | NTSC (NA)
