|       | 007 Racing                                                                                      | Electronic Arts               | PlayStation | 2000 | NTSC (NA)
|       | Area 51                                                                                         | Midway                        | PlayStation | 1996 | NTSC (NA)
|       | Armored Core                                                                                    | SCEA                          | PlayStation | 1997 | NTSC (NA)
|       | Armored Core: Master of Arena                                                                   | Agetec Inc.                   | PlayStation | 2000 | NTSC (NA)
|       | Armored Core: Project Phantasma                                                                 | ASCII Entertainment           | PlayStation | 1998 | NTSC (NA)
|       | Armorines: Project S.W.A.R.M.                                                                   | Acclaim                       | PlayStation | 2000 | NTSC (NA)
|       | Army Men 3D                                                                                     | 3DO                           | PlayStation | 1999 | NTSC (NA)
|       | Army Men Gold: Collector's Edition                                                              | 3DO                           | PlayStation | 2013 | NTSC (NA)
|       | Army Men World War: Final Front                                                                 | 3DO                           | PlayStation | 2001 | NTSC (NA)
|       | Army Men World War: Team Assault                                                                | 3DO                           | PlayStation | 2001 | NTSC (NA)
|       | Army Men: Air Attack                                                                            | 3DO                           | PlayStation | 1999 | NTSC (NA)
|       | Army Men: Air Attack 2                                                                          | 3DO                           | PlayStation | 2000 | NTSC (NA)
|       | Army Men: Green Rogue                                                                           | 3DO                           | PlayStation | 2001 | NTSC (NA)
|       | Army Men: Sarge's Heroes                                                                        | 3DO                           | PlayStation | 2013 | NTSC (NA)
|       | Army Men: Sarge's Heroes 2                                                                      | 3DO                           | PlayStation | 2000 | NTSC (NA)
|       | Army Men: World War                                                                             | 3DO                           | PlayStation | 2000 | NTSC (NA)
|       | Army Men: World War - Land, Sea, Air                                                            | 3DO                           | PlayStation | 2000 | NTSC (NA)
|       | Arthur! Ready to Race                                                                           | The Learning Company          | PlayStation | 2000 | NTSC (NA)
|       | ASCII Entertainment Demo Disc                                                                   | ASCII Entertainment           | PlayStation | 1997 | NTSC (NA)
|       | Assault Rigs                                                                                    | Psygnosis                     | PlayStation | 1996 | NTSC (NA)
|       | Assault: Retribution                                                                            | Midway                        | PlayStation | 1998 | NTSC (NA)
|       | Asteroids                                                                                       | Activision                    | PlayStation | 1998 | NTSC (NA)
|       | Atari Anniversary Edition Redux                                                                 | Infogrames                    | PlayStation | 2013 | NTSC (NA)
|       | Attack of the Killer Demos                                                                      | SCEA                          | PlayStation | 1999 | NTSC (NA)
|       | ATV Mania                                                                                       | Gotham Games                  | PlayStation | 2003 | NTSC (NA)
|       | ATV Racers                                                                                      | Mud Duck Productions          | PlayStation | 2003 | NTSC (NA)
|       | ATV: Quad Power Racing                                                                          | Acclaim                       | PlayStation | 2000 | NTSC (NA)
|       | Austin Powers Pinball                                                                           | Gotham Games                  | PlayStation | 2002 | NTSC (NA)
|       | Auto Destruct                                                                                   | Electronic Arts               | PlayStation | 1998 | NTSC (NA)
|       | Azure Dreams                                                                                    | Konami                        | PlayStation | 1998 | NTSC (NA)
|       | Backstreet Billiards                                                                            | ASCII Entertainment           | PlayStation | 1998 | NTSC (NA)
|       | Backyard Soccer                                                                                 | Infogrames                    | PlayStation | 2001 | NTSC (NA)
|       | Baldies                                                                                         | Bethesda Softworks            | PlayStation | 2003 | NTSC (NA)
|       | Ball Breakers                                                                                   | Take-Two Interactive          | PlayStation | 2000 | NTSC (NA)
|       | BallBlazer Champions                                                                            | LucasArts                     | PlayStation | 1997 | NTSC (NA)
|       | Ballerburg: Castle Chaos                                                                        | Mud Duck Productions          | PlayStation | 2003 | NTSC (NA)
|       | Ballistic                                                                                       | Infogrames                    | PlayStation | 1999 | NTSC (NA)
|       | Barbie Explorer                                                                                 | Havas Interactive             | PlayStation | 2001 | NTSC (NA)
|       | Barbie Super Sports                                                                             | Mattel                        | PlayStation | 1999 | NTSC (NA)
|       | Barbie: Gotta Have Games                                                                        | VU Games                      | PlayStation | 2003 | NTSC (NA)
|       | Barbie: Race & Ride                                                                             | Mattel                        | PlayStation | 1999 | NTSC (NA)
|       | Bases Loaded '96: Double Header                                                                 | Jaleco Entertainment          | PlayStation | 1995 | NTSC (NA)
|       | Bass Landing                                                                                    | Agetec Inc.                   | PlayStation | 2000 | NTSC (NA)
|       | Bass Rise                                                                                       | Bandai                        | PlayStation | 1999 | NTSC (NA)
|       | Batman & Robin                                                                                  | Acclaim                       | PlayStation | 1998 | NTSC (NA)
|       | Batman Beyond: Return of the Joker                                                              | Kemco                         | PlayStation | 2000 | NTSC (NA)
|       | Batman Forever: The Arcade Game                                                                 | Acclaim                       | PlayStation | 1996 | NTSC (NA)
|       | Batman: Gotham City Racer                                                                       | Ubisoft                       | PlayStation | 2001 | NTSC (NA)
|       | Battle Arena Toshinden                                                                          | SCEA                          | PlayStation | 1995 | NTSC (NA)
|       | Battle Arena Toshinden 2                                                                        | Playmates                     | PlayStation | 1996 | NTSC (NA)
|       | Battle Arena Toshinden 3                                                                        | Playmates                     | PlayStation | 1997 | NTSC (NA)
|       | Battle Hunter                                                                                   | Agetec Inc.                   | PlayStation | 2001 | NTSC (NA)
|       | Battle Stations                                                                                 | Electronic Arts               | PlayStation | 1997 | NTSC (NA)
|       | BattleSport                                                                                     | Acclaim                       | PlayStation | 1997 | NTSC (NA)
|       | BattleTanx: Global Assault                                                                      | 3DO                           | PlayStation | 2000 | NTSC (NA)
|       | Beast Wars: Transformers                                                                        | Hasbro Interactive            | PlayStation | 1997 | NTSC (NA)
|       | Beyblade: Let it Rip!                                                                           | Crave                         | PlayStation | 2002 | NTSC (NA)
|       | Beyond the Beyond                                                                               | SCEA                          | PlayStation | 1996 | NTSC (NA)
|       | Big Air                                                                                         | Accolade                      | PlayStation | 1999 | NTSC (NA)
|       | Big Bass Fishing                                                                                | Take-Two Interactive          | PlayStation | 2002 | NTSC (NA)
|       | Big Bass World Championship                                                                     | Hot-B                         | PlayStation | 1997 | NTSC (NA)
|       | Big League Slugger Baseball                                                                     | Agetec Inc.                   | PlayStation | 2003 | NTSC (NA)
|       | Big Ol' Bass 2                                                                                  | Konami                        | PlayStation | 2000 | NTSC (NA)
|       | Big Strike Bowling                                                                              | Take-Two Interactive          | PlayStation | 2003 | NTSC (NA)
|       | Billiards                                                                                       | Agetec Inc.                   | PlayStation | 2001 | NTSC (NA)
|       | Bio FREAKS                                                                                      | Midway                        | PlayStation | 1998 | NTSC (NA)
|       | Black Bass with Blue Marlin                                                                     | Hot B                         | PlayStation | 1999 | NTSC (NA)
|       | Black Dawn                                                                                      | Virgin Interactive            | PlayStation | 1996 | NTSC (NA)
|       | Blade                                                                                           | Activision                    | PlayStation | 2000 | NTSC (NA)
|       | Blast Chamber                                                                                   | Activision                    | PlayStation | 1996 | NTSC (NA)
|       | Blast Lacrosse                                                                                  | Acclaim                       | PlayStation | 2001 | NTSC (NA)
|       | Blast Radius                                                                                    | Psygnosis                     | PlayStation | 1999 | NTSC (NA)
|       | Blaster Master: Blasting Again                                                                  | Crave                         | PlayStation | 2001 | NTSC (NA)
|       | Blasto                                                                                          | SCEA                          | PlayStation | 1998 | NTSC (NA)
|       | Blazing Dragons                                                                                 | Mindscape Inc.                | PlayStation | 1996 | NTSC (NA)
|       | Blockids                                                                                        | Natsume                       | PlayStation | 2003 | NTSC (NA)
|       | Blood Omen: Legacy of Kain                                                                      | Crystal Dynamics              | PlayStation | 1996 | NTSC (NA)
|       | Blood Omen: Legacy of Kain / Legacy of Kain: Soul Reaver / Fighting Force - Collector's Edition | Eidos Interactive             | PlayStation | 2002 | NTSC (NA)
|       | Bloody Roar                                                                                     | SCEA                          | PlayStation | 1997 | NTSC (NA)
|       | Bloody Roar II                                                                                  | SCEA                          | PlayStation | 1999 | NTSC (NA)
|       | Blue's Clues: Blue's Big Musical                                                                | THQ                           | PlayStation | 2001 | NTSC (NA)
|       | Board Game: Top Shop                                                                            | A1 Games                      | PlayStation | 2001 | NTSC (NA)
|       | Board Game: Top Shop                                                                            | A1 Games                      | PlayStation | 2001 | NTSC (NA)
|       | Bob the Builder: Can We Fix It?                                                                 | THQ                           | PlayStation | 2001 | NTSC (NA)
|       | Bogey: Dead 6                                                                                   | SCEA                          | PlayStation | 1996 | NTSC (NA)
|       | Bomberman Fantasy Race                                                                          | ATLUS                         | PlayStation | 1999 | NTSC (NA)
|       | Bomberman Party Edition                                                                         | Vatical Entertainment         | PlayStation | 2000 | NTSC (NA)
|       | Bomberman World                                                                                 | ATLUS                         | PlayStation | 1998 | NTSC (NA)
|       | Bombing Islands, The                                                                            | Kemco                         | PlayStation | 2001 | NTSC (NA)
|       | Boombots                                                                                        | SouthPeak Games               | PlayStation | 1999 | NTSC (NA)
|       | Bottom of the 9th                                                                               | Konami                        | PlayStation | 1996 | NTSC (NA)
|       | Bottom of the 9th '97                                                                           | Konami                        | PlayStation | 1997 | NTSC (NA)
|       | Bottom of the 9th '99                                                                           | Konami                        | PlayStation | 1998 | NTSC (NA)
|       | Bowling                                                                                         | Agetec Inc.                   | PlayStation | 2001 | NTSC (NA)
|       | Boxing                                                                                          | A1 Games                      | PlayStation | 2001 | NTSC (NA)
|       | BRAHMA Force: The Assault on Beltlogger 9                                                       | Jaleco Entertainment          | PlayStation | 1997 | NTSC (NA)
|       | Brain Dead 13                                                                                   | ReadySoft                     | PlayStation | 1996 | NTSC (NA)
|       | Bratz                                                                                           | Ubisoft                       | PlayStation | 2003 | NTSC (NA)
|       | Brave Fencer Musashi                                                                            | Square EA                     | PlayStation | 1998 | NTSC (NA)
|       | Bravo Air Race                                                                                  | THQ                           | PlayStation | 1997 | NTSC (NA)
|       | Breakout                                                                                        | Hasbro Interactive            | PlayStation | 2000 | NTSC (NA)
|       | Breath of Fire III                                                                              | Capcom                        | PlayStation | 1998 | NTSC (NA)
|       | Breath of Fire IV                                                                               | Capcom                        | PlayStation | 2000 | NTSC (NA)
|       | Brigandine: The Legend of Forsena                                                               | ATLUS                         | PlayStation | 1998 | NTSC (NA)
|       | Broken Helix                                                                                    | Konami                        | PlayStation | 1997 | NTSC (NA)
|       | Broken Sword II: The Smoking Mirror                                                             | Crave                         | PlayStation | 1999 | NTSC (NA)
|       | Broken Sword: The Shadow of the Templars                                                        | THQ                           | PlayStation | 1998 | NTSC (NA)
|       | Brunswick Circuit Pro Bowling                                                                   | THQ                           | PlayStation | 1998 | NTSC (NA)
|       | Brunswick Circuit Pro Bowling 2                                                                 | THQ                           | PlayStation | 2000 | NTSC (NA)
|       | Bubble Bobble also featuring Rainbow Islands                                                    | Acclaim                       | PlayStation | 1996 | NTSC (NA)
|       | Bubsy 3D                                                                                        | Accolade                      | PlayStation | 1996 | NTSC (NA)
|       | Bugriders: The Race of Kings                                                                    | GT Interactive                | PlayStation | 1997 | NTSC (NA)
|       | Bugs Bunny & Taz: Time Busters                                                                  | Infogrames                    | PlayStation | 2000 | NTSC (NA)
|       | Bugs Bunny: Lost in Time                                                                        | Infogrames                    | PlayStation | 1999 | NTSC (NA)
|       | Builder's Block                                                                                 | Jaleco Entertainment          | PlayStation | 2000 | NTSC (NA)
|       | Burning Road                                                                                    | Playmates                     | PlayStation | 1996 | NTSC (NA)
|       | Burstrick: Wake Boarding!!                                                                      | Natsume                       | PlayStation | 2001 | NTSC (NA)
|       | Bushido Blade                                                                                   | SCEA                          | PlayStation | 1997 | NTSC (NA)
|       | Bushido Blade 2                                                                                 | Square EA                     | PlayStation | 1998 | NTSC (NA)
|       | Bust A Groove                                                                                   | 989 Sports                    | PlayStation | 1998 | NTSC (NA)
|       | Bust A Groove 2                                                                                 | Enix Corporation              | PlayStation | 1999 | NTSC (NA)
|       | Bust-A-Move '99                                                                                 | Acclaim                       | PlayStation | 1999 | NTSC (NA)
|       | Bust-A-Move 2 Arcade Edition                                                                    | Acclaim                       | PlayStation | 1996 | NTSC (NA)
|       | Bust-A-Move 4                                                                                   | Natsume                       | PlayStation | 1998 | NTSC (NA)
|       | Buster Bros. Collection                                                                         | Capcom                        | PlayStation | 1997 | NTSC (NA)
|       | C-12: Final Resistance                                                                          | SCEA                          | PlayStation | 2002 | NTSC (NA)
|       | C: The Contra Adventure                                                                         | Konami                        | PlayStation | 1998 | NTSC (NA)
|       | Cabela's Big Game Hunter: Ultimate Challenge                                                    | Activision                    | PlayStation | 2001 | NTSC (NA)
|       | Cabela's Ultimate Deer Hunt: Open Season                                                        | Activision                    | PlayStation | 2002 | NTSC (NA)
|       | Caesars Palace                                                                                  | Interplay                     | PlayStation | 1997 | NTSC (NA)
|       | Caesars Palace 2000: Millennium Gold Edition                                                    | Interplay                     | PlayStation | 2000 | NTSC (NA)
|       | Caesars Palace II                                                                               | Interplay                     | PlayStation | 1998 | NTSC (NA)
|       | Calamity 1: The Natural World                                                                   | Lightspan                     | PlayStation | 1997 | NTSC (NA)
|       | Calamity 2: People and Traditions                                                               | Lightspan                     | PlayStation | 1997 | NTSC (NA)
|       | Calamity 3: Around the World                                                                    | Lightspan                     | PlayStation | 1997 | NTSC (NA)
|       | Cali's Geo Tools                                                                                | Lightspan                     | PlayStation | 1997 | NTSC (NA)
|       | Capcom vs. SNK Pro                                                                              | Capcom                        | PlayStation | 2002 | NTSC (NA)
|       | Car and Driver Presents: Grand Tour Racing '98                                                  | Activision                    | PlayStation | 1997 | NTSC (NA)
|       | Card Games                                                                                      | Agetec Inc.                   | PlayStation | 2001 | NTSC (NA)
|       | Cardinal Syn                                                                                    | 989 Studios                   | PlayStation | 1998 | NTSC (NA)
|       | Carnage Heart                                                                                   | SCEA                          | PlayStation | 1997 | NTSC (NA)
|       | CART World Series                                                                               | SCEA                          | PlayStation | 1997 | NTSC (NA)
|       | Casper                                                                                          | Interplay                     | PlayStation | 1996 | NTSC (NA)
|       | Casper: Friends Around the World                                                                | Sound Source                  | PlayStation | 2000 | NTSC (NA)
|       | Castlevania Chronicles                                                                          | Konami                        | PlayStation | 2001 | NTSC (NA)
|       | Castlevania: Symphony of the Night                                                              | Konami                        | PlayStation | 1997 | NTSC (NA)
|       | Castrol Honda Superbike Racing                                                                  | Electronic Arts               | PlayStation | 1999 | NTSC (NA)
|       | Cat in the Hat, The                                                                             | NewKidCo                      | PlayStation | 2004 | NTSC (NA)
|       | Centipede                                                                                       | Hasbro Interactive            | PlayStation | 1999 | NTSC (NA)
|       | Championship Bass                                                                               | Electronic Arts               | PlayStation | 2000 | NTSC (NA)
|       | Championship Motocross 2001 featuring Ricky Carmichael                                          | THQ                           | PlayStation | 2001 | NTSC (NA)
|       | Championship Motocross Featuring Ricky Carmichael                                               | THQ                           | PlayStation | 1999 | NTSC (NA)
|       | Championship Surfer                                                                             | Mattel                        | PlayStation | 2000 | NTSC (NA)
|       | Chess                                                                                           | A1 Games                      | PlayStation | 2013 | NTSC (NA)
|       | Chessmaster 3-D, The                                                                            | Mindscape Inc.                | PlayStation | 1996 | NTSC (NA)
|       | Chessmaster II                                                                                  | Mindscape Inc.                | PlayStation | 1999 | NTSC (NA)
|       | Chicken Run                                                                                     | Eidos Interactive             | PlayStation | 2000 | NTSC (NA)
|       | Chocobo Racing                                                                                  | Square EA                     | PlayStation | 1999 | NTSC (NA)
|       | Chocobo's Dungeon 2                                                                             | Square EA                     | PlayStation | 1999 | NTSC (NA)
|       | Chronicles of the Sword                                                                         | Psygnosis                     | PlayStation | 1996 | NTSC (NA)
|       | Chrono Cross                                                                                    | Square EA                     | PlayStation | 2000 | NTSC (NA)
|       | Circuit Breakers                                                                                | Mindscape Inc.                | PlayStation | 1998 | NTSC (NA)
|       | Civilization II                                                                                 | Activision                    | PlayStation | 1998 | NTSC (NA)
|       | Cleopatra's Fortune                                                                             | Mud Duck Productions          | PlayStation | 2013 | NTSC (NA)
|       | Clock Tower                                                                                     | ASCII Entertainment           | PlayStation | 1997 | NTSC (NA)
|       | Clock Tower II: The Struggle Within                                                             | Agetec Inc.                   | PlayStation | 1999 | NTSC (NA)
|       | Codemasters Demo CD                                                                             | Codemasters                   | PlayStation | 2000 | NTSC (NA)
|       | CodeName: Tenka                                                                                 | SCEA                          | PlayStation | 1997 | NTSC (NA)
|       | Colin McRae Rally                                                                               | SCEA                          | PlayStation | 2000 | NTSC (NA)
|       | Colin McRae Rally 2.0                                                                           | Codemasters                   | PlayStation | 2000 | NTSC (NA)
|       | College Slam                                                                                    | Acclaim                       | PlayStation | 1996 | NTSC (NA)
|       | Colony Wars                                                                                     | Psygnosis                     | PlayStation | 1997 | NTSC (NA)
|       | Colony Wars III: Red Sun                                                                        | Midway                        | PlayStation | 2000 | NTSC (NA)
|       | Colony Wars: Vengeance                                                                          | Psygnosis                     | PlayStation | 1998 | NTSC (NA)
|       | Command & Conquer                                                                               | Westwood Studios              | PlayStation | 1997 | NTSC (NA)
|       | Command & Conquer: Red Alert                                                                    | Westwood Studios              | PlayStation | 1997 | NTSC (NA)
|       | Command & Conquer: Red Alert - Retaliation                                                      | Westwood Studios              | PlayStation | 1998 | NTSC (NA)
|       | Contender                                                                                       | SCEA                          | PlayStation | 1998 | NTSC (NA)
|       | Contender 2                                                                                     | Bam Entertainment             | PlayStation | 2000 | NTSC (NA)
|       | Contra: Legacy of War                                                                           | Konami                        | PlayStation | 1996 | NTSC (NA)
|       | Cool Boarders                                                                                   | SCEA                          | PlayStation | 1996 | NTSC (NA)
|       | Cool Boarders 2                                                                                 | SCEA                          | PlayStation | 1997 | NTSC (NA)
|       | Cool Boarders 2001                                                                              | SCEA                          | PlayStation | 2000 | NTSC (NA)
|       | Cool Boarders 3                                                                                 | 989 Studios                   | PlayStation | 1998 | NTSC (NA)
|       | Cool Boarders 4                                                                                 | 989 Studios                   | PlayStation | 1999 | NTSC (NA)
|       | Cosmic Cookoff: Language Arts                                                                   | Lightspan                     | PlayStation | 1997 | NTSC (NA)
|       | Cosmic Cookoff: Mathematics                                                                     | Lightspan                     | PlayStation | 1997 | NTSC (NA)
|       | Countdown Vampires                                                                              | Bandai                        | PlayStation | 2000 | NTSC (NA)
|       | Courier Crisis                                                                                  | GT Interactive                | PlayStation | 1997 | NTSC (NA)
|       | Covert Ops: Nuclear Dawn                                                                        | Activision                    | PlayStation | 2000 | NTSC (NA)
|       | Crash Bandicoot                                                                                 | SCEA                          | PlayStation | 1996 | NTSC (NA)
|       | Crash Bandicoot 2: Cortex Strikes Back                                                          | SCEA                          | PlayStation | 1997 | NTSC (NA)
|       | Crash Bandicoot Collector's Edition                                                             | SCEA                          | PlayStation | 2002 | NTSC (NA)
|       | Crash Bandicoot: Warped                                                                         | SCEA                          | PlayStation | 1998 | NTSC (NA)
|       | Crash Bash                                                                                      | SCEA                          | PlayStation | 2000 | NTSC (NA)
|       | Crash Bash & Spryo the Dragon: Year of the Dragon Demo CD                                       | SCEA                          | PlayStation | 2001 | NTSC (NA)
|       | Crash Team Racing                                                                               | SCEA                          | PlayStation | 1999 | NTSC (NA)
|       | Creative Camp                                                                                   | Lightspan                     | PlayStation | 1997 | NTSC (NA)
|       | Creative Isle                                                                                   | Lightspan                     | PlayStation | 1997 | NTSC (NA)
|       | Creative Journey 1                                                                              | Lightspan                     | PlayStation | 1998 | NTSC (NA)
|       | Creative Voyage                                                                                 | Lightspan                     | PlayStation | 1999 | NTSC (NA)
|       | Creatures                                                                                       | Conspiracy Entertainment      | PlayStation | 2002 | NTSC (NA)
|       | Creatures: Raised in Space                                                                      | Conspiracy Entertainment      | PlayStation | 2013 | NTSC (NA)
|       | Crime Killer                                                                                    | Interplay                     | PlayStation | 1998 | NTSC (NA)
|       | Critical Depth                                                                                  | GT Interactive                | PlayStation | 1997 | NTSC (NA)
|       | Criticom                                                                                        | Vic Tokai                     | PlayStation | 1995 | NTSC (NA)
|       | Croc 2                                                                                          | Fox Interactive               | PlayStation | 1999 | NTSC (NA)
|       | Croc: Legend of the Gobbos                                                                      | Fox Interactive               | PlayStation | 1997 | NTSC (NA)
|       | Crossroad Crisis                                                                                | A1 Games                      | PlayStation | 2001 | NTSC (NA)
|       | Crow: City of Angels, The                                                                       | Acclaim                       | PlayStation | 1997 | NTSC (NA)
|       | Crusader: No Remorse                                                                            | Electronic Arts               | PlayStation | 1996 | NTSC (NA)
|       | Crusaders of Might and Magic                                                                    | 3DO                           | PlayStation | 2000 | NTSC (NA)
